,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-01-04 00:00:00,1.5825,8.3346,16.6574,35.3421,219.2943,272.4766,528.9165,1068.0574,3558.4743,57.0666,57.0666,57.0666,57.0666,57.0666,57.0666,0.7398,0.7398
2020-01-04 00:30:00,1.5523,8.2408,16.5368,34.8622,216.4081,269.3881,524.1062,1063.735,3557.2518,85.8771,85.8771,85.8771,85.8771,85.8771,85.8771,0.7078,0.7078
2020-01-04 01:00:00,1.5343,8.0855,16.3466,34.4888,214.331,264.8387,520.1983,1056.577,3528.32,71.76,71.76,71.76,71.76,71.76,71.76,0.6724,0.6724
2020-01-04 01:30:00,1.528,8.1603,16.3986,34.1534,211.5932,263.9155,513.6034,1053.6989,3505.514,72.4574,72.4574,72.4574,72.4574,72.4574,72.4574,0.6579,0.6579
2020-01-04 02:00:00,1.5238,8.1086,16.2299,34.1664,209.3875,264.5917,511.5748,1050.0005,3494.5365,89.594,89.594,89.594,89.594,89.594,89.594,0.6357,0.6357
2020-01-04 02:30:00,1.5237,8.2243,16.1394,33.8661,209.318,263.1603,512.4866,1044.7929,3459.4,68.8399,68.8399,68.8399,68.8399,68.8399,68.8399,0.632,0.632
2020-01-04 03:00:00,1.5182,8.2428,15.9857,33.7919,209.6768,263.3538,514.7572,1037.1572,3467.368,66.8272,66.8272,66.8272,66.8272,66.8272,66.8272,0.6319,0.6319
2020-01-04 03:30:00,1.5158,8.3249,16.0686,33.7631,209.9016,263.0764,514.1296,1039.1157,3469.5902,68.5851,68.5851,68.5851,68.5851,68.5851,68.5851,0.626,0.626
2020-01-04 04:00:00,1.5393,8.2791,16.3524,34.3339,212.5545,262.84,514.8093,1042.4485,3431.218,79.9826,79.9826,79.9826,79.9826,79.9826,79.9826,0.6279,0.6279
2020-01-04 04:30:00,1.5552,8.4255,16.4242,34.7137,215.2707,267.5625,519.0968,1043.9769,3425.8828,58.3016,58.3016,58.3016,58.3016,58.3016,58.3016,0.6326,0.6326
2020-01-04 05:00:00,1.6017,8.5007,16.7975,35.5859,219.5527,273.9323,524.8518,1061.68,3460.8826,80.0024,80.0024,80.0024,80.0024,80.0024,80.0024,0.6532,0.6532
2020-01-04 05:30:00,1.6243,8.953,17.236,36.1967,222.5003,277.5045,530.3574,1063.7096,3471.5087,67.6073,67.6073,67.6073,67.6073,67.6073,67.6073,0.6792,0.6792
2020-01-04 06:00:00,1.6736,8.6863,18.3833,37.5638,228.5739,283.3813,543.7918,1075.7125,3488.2896,78.2328,78.2328,78.2328,78.2328,78.2328,78.2328,0.6972,0.6972
2020-01-04 06:30:00,1.7137,8.7346,19.0612,38.2712,231.3414,285.7791,550.4212,1080.6505,3531.5402,68.0369,68.0369,68.0369,68.0369,68.0369,68.0369,0.7157,0.7157
2020-01-04 07:00:00,1.7476,8.5779,19.5846,38.7506,234.7697,285.676,560.2364,1079.1056,3534.7212,59.8449,59.8449,59.8449,59.8449,59.8449,59.8449,0.7434,0.7434
2020-01-04 07:30:00,1.7422,7.9856,20.0536,38.5064,232.1226,281.7915,560.0543,1081.1023,3499.1303,24.0348,24.0348,24.0348,24.0348,24.0348,24.0348,0.7583,0.7583
2020-01-04 08:00:00,1.8192,7.0206,20.3903,38.666,232.8405,275.7722,562.7998,1078.9305,3506.3865,40.7479,40.7479,40.7479,40.7479,40.7479,40.7479,0.8071,0.8071
2020-01-04 08:30:00,1.8858,5.6272,20.4621,38.8995,231.746,267.7613,566.0687,1068.5376,3517.4516,61.368,61.368,61.368,61.368,61.368,61.368,0.8195,0.8195
