,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-03-03 00:00:00,1.5303,9.042,17.6789,36.6844,242.9382,332.9379,585.0795,1215.7354,4277.1419,367.0916,367.0916,367.0916,367.0916,367.0916,367.0916,0.6159,0.6159
2020-03-03 00:30:00,1.525,9.147,17.3542,36.0977,241.0992,328.6613,585.0051,1198.8607,4289.3784,362.2435,362.2435,362.2435,362.2435,362.2435,362.2435,0.5784,0.5784
2020-03-03 01:00:00,1.5103,9.0092,17.39,35.8726,238.1559,324.6124,578.3766,1196.6135,4261.0137,368.1602,368.1602,368.1602,368.1602,368.1602,368.1602,0.5634,0.5634
2020-03-03 01:30:00,1.4993,9.0726,17.1895,35.6318,234.3547,322.735,576.0631,1187.6041,4231.3992,363.1793,363.1793,363.1793,363.1793,363.1793,363.1793,0.5514,0.5514
2020-03-03 02:00:00,1.4938,9.0154,17.3299,35.445,233.7104,322.0845,572.7537,1179.0362,4208.6628,372.1996,372.1996,372.1996,372.1996,372.1996,372.1996,0.5455,0.5455
2020-03-03 02:30:00,1.4889,8.8728,17.3214,35.3338,233.4487,324.7133,573.9373,1174.2114,4137.8236,361.1104,361.1104,361.1104,361.1104,361.1104,361.1104,0.5486,0.5486
2020-03-03 03:00:00,1.4851,9.1669,17.5176,35.3069,234.5798,322.4598,570.5394,1169.7132,4134.1985,365.2765,365.2765,365.2765,365.2765,365.2765,365.2765,0.5403,0.5403
2020-03-03 03:30:00,1.5013,9.1171,17.9111,35.5925,236.0778,325.1611,571.2899,1166.7014,4104.1468,357.427,357.427,357.427,357.427,357.427,357.427,0.5422,0.5422
2020-03-03 04:00:00,1.5444,9.319,18.7303,36.47,241.6653,330.5628,574.3831,1174.8474,4109.855,359.1325,359.1325,359.1325,359.1325,359.1325,359.1325,0.5504,0.5504
2020-03-03 04:30:00,1.6004,10.0765,19.3423,37.3245,248.2081,340.7599,587.1002,1193.5679,4142.5317,356.2784,356.2784,356.2784,356.2784,356.2784,356.2784,0.5668,0.5668
2020-03-03 05:00:00,1.7022,11.6715,21.2278,39.003,258.6013,350.7937,610.9999,1230.3806,4198.1332,361.4966,361.4966,361.4966,361.4966,361.4966,361.4966,0.6103,0.6103
2020-03-03 05:30:00,1.8063,12.7176,23.1783,40.4242,271.1255,361.212,643.7493,1260.333,4241.0731,359.7911,359.7911,359.7911,359.7911,359.7911,359.7911,0.6516,0.6516
2020-03-03 06:00:00,2.002,14.5355,26.4247,42.6547,290.3462,373.9779,681.2531,1298.4063,4325.0745,354.8274,354.8274,354.8274,354.8274,354.8274,354.8274,0.7075,0.7075
