,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-03-18 00:00:00,1.5628,8.8336,17.8323,36.191,226.5578,329.5325,559.0281,1135.0355,4560.4982,109.3103,109.3103,109.3103,109.3103,109.3103,109.3103,0.7115,0.7115
2020-03-18 00:30:00,1.5244,8.5631,17.4437,35.9255,224.2795,323.5551,554.0033,1127.865,4531.78,120.2402,120.2402,120.2402,120.2402,120.2402,120.2402,0.6873,0.6873
2020-03-18 01:00:00,1.5027,8.5932,16.8907,35.2322,222.7958,320.297,552.5044,1116.5498,4442.0767,121.2428,121.2428,121.2428,121.2428,121.2428,121.2428,0.6648,0.6648
2020-03-18 01:30:00,1.4917,8.4334,16.8136,34.9021,220.6128,317.8833,552.3724,1111.8142,4438.1604,119.5187,119.5187,119.5187,119.5187,119.5187,119.5187,0.6376,0.6376
2020-03-18 02:00:00,1.4774,8.4438,16.7568,34.6776,220.676,316.608,552.0006,1103.4039,4472.0405,132.3544,132.3544,132.3544,132.3544,132.3544,132.3544,0.6226,0.6226
2020-03-18 02:30:00,1.4803,8.3203,16.728,34.388,219.1566,316.9483,554.3103,1101.138,4452.9589,116.6672,116.6672,116.6672,116.6672,116.6672,116.6672,0.6056,0.6056
2020-03-18 03:00:00,1.4785,8.5011,17.0102,34.3266,221.2725,316.4443,553.0777,1097.5747,4427.7444,131.1349,131.1349,131.1349,131.1349,131.1349,131.1349,0.6071,0.6071
2020-03-18 03:30:00,1.4736,8.5279,16.9214,34.4348,222.402,316.3383,558.1982,1091.8555,4360.8844,123.1784,123.1784,123.1784,123.1784,123.1784,123.1784,0.5939,0.5939
2020-03-18 04:00:00,1.4847,8.8818,16.9416,34.9176,224.8477,316.6258,561.6562,1099.9214,4381.5598,127.415,127.415,127.415,127.415,127.415,127.415,0.6073,0.6073
2020-03-18 04:30:00,1.4913,8.8807,17.3314,35.346,228.3081,316.281,571.2182,1113.0734,4455.3328,117.5202,117.5202,117.5202,117.5202,117.5202,117.5202,0.6229,0.6229
2020-03-18 05:00:00,1.5338,8.9069,18.2143,36.2325,234.4509,328.328,587.006,1127.8283,4485.5921,121.826,121.826,121.826,121.826,121.826,121.826,0.6397,0.6397
2020-03-18 05:30:00,1.5714,9.0489,18.8901,37.0243,240.9741,343.0064,600.3393,1152.3373,4550.3293,117.317,117.317,117.317,117.317,117.317,117.317,0.6776,0.6776
2020-03-18 06:00:00,1.6558,9.6426,20.4348,38.2745,254.7308,353.1426,629.4018,1188.5091,4585.9442,108.9707,108.9707,108.9707,108.9707,108.9707,108.9707,0.7152,0.7152
2020-03-18 06:30:00,1.7227,10.1537,21.7255,38.9433,263.7078,362.1263,654.833,1204.5922,4653.3156,100.5573,100.5573,100.5573,100.5573,100.5573,100.5573,0.7567,0.7567
2020-03-18 07:00:00,1.8858,11.052,24.0856,40.385,273.8715,369.6726,672.9589,1219.9486,4660.7458,102.5787,102.5787,102.5787,102.5787,102.5787,102.5787,0.7967,0.7967
2020-03-18 07:30:00,1.9979,11.7287,26.2,40.9893,279.2146,370.9782,684.0441,1226.4963,4567.8901,316.9547,316.9547,316.9547,316.9547,316.9547,316.9547,0.8289,0.8289
2020-03-18 08:00:00,2.1208,12.4204,27.3577,41.6762,283.462,379.5721,695.9422,1235.0547,4532.4949,370.9385,370.9385,370.9385,370.9385,370.9385,370.9385,0.861,0.861
2020-03-18 08:30:00,2.2426,11.6838,27.8999,41.5106,280.2619,374.0925,694.8072,1224.7009,4465.2814,378.1427,378.1427,378.1427,378.1427,378.1427,378.1427,0.8613,0.8613
2020-03-18 09:00:00,2.3669,10.489,28.6029,41.6143,279.0394,369.8948,695.8626,1216.602,4421.5577,389.3637,389.3637,389.3637,389.3637,389.3637,389.3637,0.8625,0.8625
2020-03-18 09:30:00,2.4804,9.6607,28.975,41.8639,278.3147,362.8409,691.3132,1208.4829,4700.763,387.6008,387.6008,387.6008,387.6008,387.6008,387.6008,0.8621,0.8621
2020-03-18 10:00:00,2.5732,8.5493,28.8699,41.9092,275.8083,362.9897,686.299,1199.0099,5083.0994,395.074,395.074,395.074,395.074,395.074,395.074,0.8532,0.8532
2020-03-18 10:30:00,2.5618,7.9111,28.8195,41.9112,272.8458,358.373,685.5162,1198.4665,5138.7374,398.9822,398.9822,398.9822,398.9822,398.9822,398.9822,0.8695,0.8695
2020-03-18 11:00:00,2.63,6.6309,29.0493,41.9727,272.7571,352.8865,683.8335,1188.5655,5140.7882,379.2233,379.2233,379.2233,379.2233,379.2233,379.2233,0.8491,0.8491
2020-03-18 11:30:00,2.6213,6.7673,29.0448,41.7719,272.0962,351.1247,687.4833,1187.6829,5213.5617,360.361,360.361,360.361,360.361,360.361,360.361,0.8345,0.8345
2020-03-18 12:00:00,2.6526,6.2671,29.02,41.3537,270.9147,350.8237,690.8447,1181.1862,5189.0619,362.3579,362.3579,362.3579,362.3579,362.3579,362.3579,0.8599,0.8599
2020-03-18 12:30:00,2.6032,5.8618,28.5722,41.5986,270.0764,351.459,684.1118,1181.3281,5206.4708,357.6634,357.6634,357.6634,357.6634,357.6634,357.6634,0.8482,0.8482
2020-03-18 13:00:00,2.5908,5.7221,28.3894,41.5183,267.6062,350.2316,679.9121,1187.1948,5176.0657,320.2777,320.2777,320.2777,320.2777,320.2777,320.2777,0.8292,0.8292
2020-03-18 13:30:00,2.5642,5.6838,28.0794,41.1967,268.8815,344.0241,682.6846,1186.6818,5162.7362,299.1152,299.1152,299.1152,299.1152,299.1152,299.1152,0.8076,0.8076
2020-03-18 14:00:00,2.543,5.5499,28.0026,41.1103,268.1755,347.0319,673.0237,1188.044,5145.8073,247.6819,247.6819,247.6819,247.6819,247.6819,247.6819,0.7954,0.7954
2020-03-18 14:30:00,2.4051,5.3832,27.449,41.1558,264.9721,344.9308,661.4718,1171.9185,5098.3702,111.2059,111.2059,111.2059,111.2059,111.2059,111.2059,0.7909,0.7909
2020-03-18 15:00:00,2.3601,5.2769,26.6746,40.5533,263.9752,343.4675,668.5507,1164.6914,5073.746,119.2571,119.2571,119.2571,119.2571,119.2571,119.2571,0.79,0.79
2020-03-18 15:30:00,2.3197,4.9657,26.4152,40.2157,263.012,339.6205,662.7277,1162.3124,5043.8847,109.8046,109.8046,109.8046,109.8046,109.8046,109.8046,0.7856,0.7856
2020-03-18 16:00:00,2.2637,4.8489,25.4561,40.3026,260.9251,335.6262,660.9436,1160.706,5026.44,114.4595,114.4595,114.4595,114.4595,114.4595,114.4595,0.801,0.801
