,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-04-29 00:00:00,1.4763,11.1519,17.1333,35.9749,238.7733,290.3191,601.603,1180.8517,4383.8121,59.2827,59.2827,59.2827,59.2827,59.2827,59.2827,0.7066,0.7066
2020-04-29 00:30:00,1.4586,10.9085,16.9686,35.5971,237.6228,288.4868,594.5738,1168.521,4352.7416,62.3987,62.3987,62.3987,62.3987,62.3987,62.3987,0.6499,0.6499
2020-04-29 01:00:00,1.4356,10.3336,16.8451,35.0719,235.7586,283.7369,589.9087,1151.0598,4330.7406,58.2442,58.2442,58.2442,58.2442,58.2442,58.2442,0.6104,0.6104
2020-04-29 01:30:00,1.4333,9.848,16.636,34.8148,233.3569,280.4326,591.7818,1136.6447,4265.8356,58.8186,58.8186,58.8186,58.8186,58.8186,58.8186,0.5822,0.5822
2020-04-29 02:00:00,1.4294,9.8323,16.546,34.4583,232.4032,276.9239,591.4254,1125.3982,4235.5832,58.9539,58.9539,58.9539,58.9539,58.9539,58.9539,0.567,0.567
2020-04-29 02:30:00,1.4203,9.5455,16.3875,34.4913,232.8549,277.412,587.311,1118.5489,4197.5815,63.0722,63.0722,63.0722,63.0722,63.0722,63.0722,0.5533,0.5533
2020-04-29 03:00:00,1.4089,9.7336,16.4373,34.4808,235.4379,277.9966,586.0242,1121.4605,4217.4289,62.0724,62.0724,62.0724,62.0724,62.0724,62.0724,0.5374,0.5374
2020-04-29 03:30:00,1.4145,9.5118,16.6681,34.7026,235.6642,283.9198,592.0842,1125.5027,4226.902,60.0915,60.0915,60.0915,60.0915,60.0915,60.0915,0.5273,0.5273
2020-04-29 04:00:00,1.427,9.7631,17.3404,35.0801,240.3149,285.7681,596.2752,1126.1265,4255.9204,62.8277,62.8277,62.8277,62.8277,62.8277,62.8277,0.5282,0.5282
2020-04-29 04:30:00,1.4508,10.331,17.8684,35.6236,245.7192,288.0701,604.7023,1141.581,4276.7789,57.3144,57.3144,57.3144,57.3144,57.3144,57.3144,0.5285,0.5285
2020-04-29 05:00:00,1.4983,10.7985,19.3105,36.4918,253.9057,298.2742,623.0491,1168.6888,4286.8218,64.8388,64.8388,64.8388,64.8388,64.8388,64.8388,0.5476,0.5476
2020-04-29 05:30:00,1.519,11.109,20.353,37.4853,260.1632,305.4356,642.5188,1193.7346,4333.1649,66.3996,66.3996,66.3996,66.3996,66.3996,66.3996,0.5584,0.5584
2020-04-29 06:00:00,1.5561,11.5452,22.0536,38.2858,270.1469,313.3603,668.5652,1215.825,4335.9515,52.0234,52.0234,52.0234,52.0234,52.0234,52.0234,0.567,0.567
2020-04-29 06:30:00,1.5926,10.8113,22.8575,38.3185,273.3639,312.5758,679.2416,1221.2944,4320.3616,44.2397,44.2397,44.2397,44.2397,44.2397,44.2397,0.5724,0.5724
2020-04-29 07:00:00,1.7043,10.258,24.1833,39.2056,278.6036,310.596,696.3096,1226.0463,4283.673,40.7933,40.7933,40.7933,40.7933,40.7933,40.7933,0.571,0.571
