,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-06-30 00:00:00,1.6139,12.274,19.0783,38.3992,254.9372,291.7362,631.918,1206.4168,5230.6421,68.6076,68.6076,68.6076,68.6076,68.6076,68.6076,0.737,0.737
2020-06-30 00:30:00,1.5763,11.7671,18.5927,37.8654,252.7378,288.6547,624.6252,1191.8751,5184.286,74.3546,74.3546,74.3546,74.3546,74.3546,74.3546,0.6885,0.6885
2020-06-30 01:00:00,1.5607,11.2849,18.2088,37.3727,250.8351,284.9132,620.4756,1181.8429,5129.6916,70.9717,70.9717,70.9717,70.9717,70.9717,70.9717,0.6544,0.6544
2020-06-30 01:30:00,1.5459,10.9904,18.3552,36.9872,246.6697,280.1904,618.5502,1175.4566,5051.4909,67.9802,67.9802,67.9802,67.9802,67.9802,67.9802,0.627,0.627
2020-06-30 02:00:00,1.5339,11.3125,18.2034,36.5834,244.1646,277.7455,611.016,1168.1459,5025.9947,76.6559,76.6559,76.6559,76.6559,76.6559,76.6559,0.6035,0.6035
2020-06-30 02:30:00,1.5219,11.2262,18.0268,36.3089,242.7075,275.688,610.429,1163.9156,4984.1579,70.8101,70.8101,70.8101,70.8101,70.8101,70.8101,0.5843,0.5843
2020-06-30 03:00:00,1.5257,11.5207,18.0488,36.3008,245.3459,275.3728,608.179,1169.6597,5005.5283,74.5424,74.5424,74.5424,74.5424,74.5424,74.5424,0.5711,0.5711
2020-06-30 03:30:00,1.5336,11.2803,18.3719,36.5252,246.8882,273.9964,605.3803,1174.2268,5015.8239,71.3247,71.3247,71.3247,71.3247,71.3247,71.3247,0.5626,0.5626
2020-06-30 04:00:00,1.5347,11.4504,19.3983,36.9501,252.5919,274.7718,609.4361,1185.2136,5020.4938,73.7881,73.7881,73.7881,73.7881,73.7881,73.7881,0.5685,0.5685
2020-06-30 04:30:00,1.5566,11.5498,20.1022,37.3533,256.0526,279.5558,618.7405,1190.7497,5039.1797,70.9701,70.9701,70.9701,70.9701,70.9701,70.9701,0.5771,0.5771
2020-06-30 05:00:00,1.5949,12.0504,21.5462,38.4375,268.1001,291.4889,641.8881,1218.3248,5068.0444,74.0007,74.0007,74.0007,74.0007,74.0007,74.0007,0.5891,0.5891
2020-06-30 05:30:00,1.6186,12.2969,22.6735,39.2731,275.8655,302.2094,661.1189,1237.5448,5097.9113,68.4867,68.4867,68.4867,68.4867,68.4867,68.4867,0.5889,0.5889
2020-06-30 06:00:00,1.6827,12.4837,24.5725,39.8739,286.7346,308.6291,697.4259,1243.2638,5094.8728,57.2802,57.2802,57.2802,57.2802,57.2802,57.2802,0.5942,0.5942
2020-06-30 06:30:00,1.759,11.9889,26.1991,40.7536,293.4832,314.9426,723.4115,1255.3034,5017.6673,60.8251,60.8251,60.8251,60.8251,60.8251,60.8251,0.599,0.599
2020-06-30 07:00:00,1.9252,11.6324,28.4792,42.3965,300.2427,316.0177,748.1137,1270.9067,5052.1516,82.7885,82.7885,82.7885,82.7885,82.7885,82.7885,0.6069,0.6069
2020-06-30 07:30:00,2.0611,10.2863,30.6876,43.7737,305.241,310.4882,769.0435,1273.7563,5101.218,140.8462,140.8462,140.8462,140.8462,140.8462,140.8462,0.6198,0.6198
2020-06-30 08:00:00,2.2695,8.5619,32.6764,45.0927,312.7786,315.8514,786.2719,1282.6079,5120.3851,156.7176,156.7176,156.7176,156.7176,156.7176,156.7176,0.6258,0.6258
2020-06-30 08:30:00,2.4342,7.7434,34.0768,46.0155,318.4531,310.9811,808.5401,1281.8362,5154.6488,163.8917,163.8917,163.8917,163.8917,163.8917,163.8917,0.6411,0.6411
