,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-03-27 00:00:00,1.4848,8.4642,16.6057,34.7197,222.3062,322.6303,554.8769,1113.7146,4166.0148,127.0632,127.0632,127.0632,127.0632,127.0632,127.0632,0.6892,0.6892
2020-03-27 00:30:00,1.4632,8.4224,16.4648,34.5386,220.4498,322.04,554.1591,1107.804,4119.6005,124.7875,124.7875,124.7875,124.7875,124.7875,124.7875,0.6442,0.6442
2020-03-27 01:00:00,1.4498,8.3013,16.4748,34.2758,219.5094,319.8904,544.5109,1100.9287,4113.3737,135.1772,135.1772,135.1772,135.1772,135.1772,135.1772,0.6182,0.6182
2020-03-27 01:30:00,1.457,8.3375,16.3533,34.0626,218.7597,318.3908,542.587,1097.6371,4106.2182,131.8964,131.8964,131.8964,131.8964,131.8964,131.8964,0.5981,0.5981
2020-03-27 02:00:00,1.46,8.4197,16.359,34.0933,220.5782,316.8299,545.029,1101.8972,4110.9491,128.1473,128.1473,128.1473,128.1473,128.1473,128.1473,0.5915,0.5915
2020-03-27 02:30:00,1.4655,8.5713,16.171,34.1501,221.3736,319.9916,545.5807,1098.3243,4095.9451,128.6255,128.6255,128.6255,128.6255,128.6255,128.6255,0.5793,0.5793
2020-03-27 03:00:00,1.4791,8.7482,16.4338,34.6152,222.6168,319.4638,554.2508,1104.6485,4114.1812,139.9573,139.9573,139.9573,139.9573,139.9573,139.9573,0.574,0.574
2020-03-27 03:30:00,1.4818,8.7824,16.5208,34.875,226.3923,320.7533,555.5389,1124.9161,4170.6879,148.214,148.214,148.214,148.214,148.214,148.214,0.5693,0.5693
2020-03-27 04:00:00,1.5011,9.3684,17.1683,35.77,232.1711,327.4486,574.6815,1144.5328,4206.0325,143.9815,143.9815,143.9815,143.9815,143.9815,143.9815,0.5792,0.5792
2020-03-27 04:30:00,1.5441,9.9855,18.0487,36.3796,238.7823,338.1076,591.5256,1164.0197,4245.1953,144.0272,144.0272,144.0272,144.0272,144.0272,144.0272,0.5936,0.5936
2020-03-27 05:00:00,1.6154,10.3306,19.6547,37.7174,249.3288,346.5476,622.8008,1189.1991,4297.06,145.4464,145.4464,145.4464,145.4464,145.4464,145.4464,0.6115,0.6115
2020-03-27 05:30:00,1.7552,10.6373,21.002,38.3573,256.8006,355.466,643.4598,1205.9829,4328.3156,143.6401,143.6401,143.6401,143.6401,143.6401,143.6401,0.635,0.635
2020-03-27 06:00:00,1.8995,11.2077,22.5685,39.409,264.5855,356.8943,666.2342,1217.5258,4352.0623,135.5391,135.5391,135.5391,135.5391,135.5391,135.5391,0.6856,0.6856
2020-03-27 06:30:00,1.9886,11.8021,24.3429,39.7807,267.3361,358.5827,680.5658,1209.9728,4287.7358,125.3112,125.3112,125.3112,125.3112,125.3112,125.3112,0.7157,0.7157
2020-03-27 07:00:00,2.0135,11.5097,24.9276,39.8053,268.0293,353.5952,682.1873,1199.1895,4249.2445,134.3937,134.3937,134.3937,134.3937,134.3937,134.3937,0.7539,0.7539
2020-03-27 07:30:00,2.1232,10.9591,25.5562,39.5333,262.2777,347.4441,682.1546,1180.112,4182.7988,126.4567,126.4567,126.4567,126.4567,126.4567,126.4567,0.7556,0.7556
2020-03-27 08:00:00,2.1702,8.4255,25.8119,39.7933,260.4013,340.8616,678.3939,1168.0265,4127.4684,128.2596,128.2596,128.2596,128.2596,128.2596,128.2596,0.7501,0.7501
2020-03-27 08:30:00,2.2308,7.4145,25.9012,39.9778,258.036,334.0797,678.6315,1158.8678,4181.3869,125.6264,125.6264,125.6264,125.6264,125.6264,125.6264,0.7467,0.7467
2020-03-27 09:00:00,2.2301,6.6381,25.8645,40.0451,256.7611,330.1153,680.7637,1153.2663,4184.2474,130.6842,130.6842,130.6842,130.6842,130.6842,130.6842,0.7659,0.7659
2020-03-27 09:30:00,2.2027,5.9578,26.2381,40.0509,254.3929,328.6956,683.1598,1160.8924,4162.8571,104.5278,104.5278,104.5278,104.5278,104.5278,104.5278,0.757,0.757
2020-03-27 10:00:00,2.2413,5.5559,26.2533,40.3009,256.3904,324.1392,682.0125,1162.1653,4109.8953,106.2315,106.2315,106.2315,106.2315,106.2315,106.2315,0.7487,0.7487
