,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-07-05 00:00:00,1.6546,11.6217,17.634,36.504,219.1754,270.2723,538.1375,1047.6425,4437.4798,54.0819,54.0819,54.0819,54.0819,54.0819,54.0819,0.9041,0.9041
2020-07-05 00:30:00,1.6157,11.2913,17.2627,36.1304,217.7474,266.3193,535.409,1040.9832,4414.3676,55.9787,55.9787,55.9787,55.9787,55.9787,55.9787,0.8367,0.8367
2020-07-05 01:00:00,1.5941,10.7329,17.1732,35.7131,215.9598,264.6867,533.476,1036.5743,4411.2296,50.2432,50.2432,50.2432,50.2432,50.2432,50.2432,0.7776,0.7776
2020-07-05 01:30:00,1.5819,10.3213,17.0065,35.324,213.8547,260.2717,532.2549,1033.575,4387.2303,57.6661,57.6661,57.6661,57.6661,57.6661,57.6661,0.7407,0.7407
2020-07-05 02:00:00,1.5638,10.2208,16.7992,35.2192,213.4513,256.1223,527.4722,1024.5417,4364.2373,55.2438,55.2438,55.2438,55.2438,55.2438,55.2438,0.7033,0.7033
2020-07-05 02:30:00,1.5462,10.1511,16.4685,34.7758,212.4698,255.1406,523.5449,1014.465,4349.7938,56.783,56.783,56.783,56.783,56.783,56.783,0.6775,0.6775
2020-07-05 03:00:00,1.5254,9.9739,16.3156,34.5736,212.31,250.9117,524.9619,1011.3182,4331.579,53.7376,53.7376,53.7376,53.7376,53.7376,53.7376,0.651,0.651
2020-07-05 03:30:00,1.5222,9.7567,16.3047,34.3214,212.8843,250.0978,524.5135,1005.7947,4318.794,54.1418,54.1418,54.1418,54.1418,54.1418,54.1418,0.6186,0.6186
2020-07-05 04:00:00,1.5234,10.1572,16.2975,34.6684,213.6712,248.8957,523.4848,1006.2016,4333.3256,51.4598,51.4598,51.4598,51.4598,51.4598,51.4598,0.6116,0.6116
2020-07-05 04:30:00,1.517,10.0361,16.2658,34.8786,213.0342,249.325,522.2791,1003.0157,4290.002,56.0985,56.0985,56.0985,56.0985,56.0985,56.0985,0.602,0.602
2020-07-05 05:00:00,1.541,10.0374,16.4391,35.7082,213.8993,251.556,527.2091,1001.5816,4290.852,52.2387,52.2387,52.2387,52.2387,52.2387,52.2387,0.6079,0.6079
2020-07-05 05:30:00,1.511,9.6388,16.5318,35.5859,214.2548,250.9463,528.8024,1000.0796,4277.6203,52.1857,52.1857,52.1857,52.1857,52.1857,52.1857,0.6053,0.6053
2020-07-05 06:00:00,1.4641,9.2556,16.5712,35.6134,213.6015,248.0274,532.495,1001.2459,4235.9733,38.7462,38.7462,38.7462,38.7462,38.7462,38.7462,0.5965,0.5965
2020-07-05 06:30:00,1.468,8.1065,16.6661,36.0215,212.7884,242.1837,533.6463,999.7554,4129.7835,45.5253,45.5253,45.5253,45.5253,45.5253,45.5253,0.6016,0.6016
2020-07-05 07:00:00,1.4977,6.7686,17.2854,36.9135,212.5968,234.956,532.0475,998.8478,4057.9286,41.2842,41.2842,41.2842,41.2842,41.2842,41.2842,0.607,0.607
2020-07-05 07:30:00,1.535,5.7693,17.7683,37.7342,211.5395,228.0142,534.2861,989.7882,4006.3603,43.3536,43.3536,43.3536,43.3536,43.3536,43.3536,0.608,0.608
2020-07-05 08:00:00,1.5951,4.8245,18.5563,38.835,213.7638,228.0172,539.3702,986.8401,4014.2041,41.1944,41.1944,41.1944,41.1944,41.1944,41.1944,0.6266,0.6266
2020-07-05 08:30:00,1.6408,4.5579,19.2179,39.6741,216.1319,225.8263,546.0162,987.4188,4035.0208,43.8285,43.8285,43.8285,43.8285,43.8285,43.8285,0.6553,0.6553
2020-07-05 09:00:00,1.7269,4.412,20.0916,40.6483,218.7081,227.6882,553.5376,988.4691,4034.0028,49.7097,49.7097,49.7097,49.7097,49.7097,49.7097,0.7053,0.7053
2020-07-05 09:30:00,1.8458,4.4467,20.6296,41.4412,221.0651,226.4793,557.662,989.4511,4038.3989,43.7558,43.7558,43.7558,43.7558,43.7558,43.7558,0.7426,0.7426
2020-07-05 10:00:00,1.9644,4.2888,21.311,42.3581,223.6771,227.4039,563.714,999.9662,4128.9741,46.1147,46.1147,46.1147,46.1147,46.1147,46.1147,0.7877,0.7877
2020-07-05 10:30:00,2.0324,4.0138,22.1902,43.2713,227.0858,230.7957,564.7362,1006.9184,4150.8468,44.6201,44.6201,44.6201,44.6201,44.6201,44.6201,0.8174,0.8174
2020-07-05 11:00:00,2.0949,3.9177,23.0566,43.9435,231.5635,234.394,569.8152,1012.8759,4187.908,50.2977,50.2977,50.2977,50.2977,50.2977,50.2977,0.8782,0.8782
2020-07-05 11:30:00,2.142,3.9267,23.6138,44.4646,234.1391,234.1081,575.5771,1020.2027,4218.5069,45.3164,45.3164,45.3164,45.3164,45.3164,45.3164,0.9416,0.9416
2020-07-05 12:00:00,2.1844,3.8871,24.119,44.8981,237.2073,236.2758,579.8637,1029.5073,4236.7967,45.1346,45.1346,45.1346,45.1346,45.1346,45.1346,0.9872,0.9872
2020-07-05 12:30:00,2.2466,3.8046,24.7832,45.3068,240.6256,240.0665,582.3444,1033.9663,4271.9642,39.3284,39.3284,39.3284,39.3284,39.3284,39.3284,1.0361,1.0361
2020-07-05 13:00:00,2.2904,3.9683,25.3523,45.7415,241.9381,243.0517,582.6931,1040.9507,4319.3003,38.1897,38.1897,38.1897,38.1897,38.1897,38.1897,1.0703,1.0703
2020-07-05 13:30:00,2.3319,4.2308,25.7845,46.1819,243.5068,243.2832,584.1402,1047.6731,4305.8161,34.7904,34.7904,34.7904,34.7904,34.7904,34.7904,1.1189,1.1189
