,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-04-11 00:00:00,1.39,8.07,14.96,33.06,206.41,264.34,521.67,1035.56,4536.24,69.94,69.94,69.94,69.94,69.94,69.94,0.64,0.64
2020-04-11 00:30:00,1.37,7.94,14.79,32.93,205.06,263.52,521.22,1027.73,4590.16,73.77,73.77,73.77,73.77,73.77,73.77,0.6,0.6
2020-04-11 01:00:00,1.35,7.72,14.63,32.73,204.01,260.22,516.71,1023.95,4625.68,69.74,69.74,69.74,69.74,69.74,69.74,0.57,0.57
2020-04-11 01:30:00,1.36,7.66,14.51,32.41,202.25,255.64,515.17,1020.12,4600.31,68.34,68.34,68.34,68.34,68.34,68.34,0.56,0.56
2020-04-11 02:00:00,1.35,7.69,14.5,32.2,202.99,252.24,516.37,1020.25,4574.49,70.25,70.25,70.25,70.25,70.25,70.25,0.53,0.53
2020-04-11 02:30:00,1.35,7.68,14.45,32.09,201.96,248.59,516.05,1018.34,4566.35,67.11,67.11,67.11,67.11,67.11,67.11,0.52,0.52
2020-04-11 03:00:00,1.35,7.83,14.48,31.98,201.72,247.09,517.41,1017.31,4551.37,67.13,67.13,67.13,67.13,67.13,67.13,0.51,0.51
2020-04-11 03:30:00,1.36,7.92,14.58,32.06,201.0,246.5,514.3,1015.67,4525.83,71.16,71.16,71.16,71.16,71.16,71.16,0.51,0.51
2020-04-11 04:00:00,1.37,8.02,14.73,32.28,201.63,247.12,513.89,1009.91,4527.48,72.77,72.77,72.77,72.77,72.77,72.77,0.52,0.52
2020-04-11 04:30:00,1.37,8.07,14.84,32.41,204.18,250.24,516.86,1018.98,4518.28,76.2,76.2,76.2,76.2,76.2,76.2,0.52,0.52
2020-04-11 05:00:00,1.39,8.08,15.25,32.86,205.9,253.52,519.7,1027.65,4499.48,72.01,72.01,72.01,72.01,72.01,72.01,0.54,0.54
2020-04-11 05:30:00,1.41,8.0,15.51,33.21,207.64,252.89,524.67,1034.59,4438.98,71.14,71.14,71.14,71.14,71.14,71.14,0.54,0.54
2020-04-11 06:00:00,1.44,8.2,16.22,34.22,212.44,256.21,532.65,1044.77,4418.8,69.56,69.56,69.56,69.56,69.56,69.56,0.57,0.57
2020-04-11 06:30:00,1.41,7.71,16.31,34.0,212.83,251.36,538.9,1042.61,4404.97,62.8,62.8,62.8,62.8,62.8,62.8,0.59,0.59
2020-04-11 07:00:00,1.4,7.25,16.26,33.73,210.98,248.41,540.06,1033.77,4306.36,48.42,48.42,48.42,48.42,48.42,48.42,0.61,0.61
2020-04-11 07:30:00,1.41,6.16,16.45,33.84,207.8,241.13,541.7,1024.14,4209.15,56.78,56.78,56.78,56.78,56.78,56.78,0.61,0.61
2020-04-11 08:00:00,1.45,5.1,16.81,34.34,206.91,236.54,541.71,1017.75,4177.89,55.68,55.68,55.68,55.68,55.68,55.68,0.63,0.63
2020-04-11 08:30:00,1.47,4.4,16.75,34.54,206.02,233.51,541.5,1013.1,4161.62,57.15,57.15,57.15,57.15,57.15,57.15,0.63,0.63
2020-04-11 09:00:00,1.52,3.98,16.97,34.78,204.98,234.31,541.06,1003.51,4125.14,57.01,57.01,57.01,57.01,57.01,57.01,0.68,0.68
2020-04-11 09:30:00,1.55,3.64,17.06,34.7,202.47,232.6,539.86,996.53,4167.42,56.53,56.53,56.53,56.53,56.53,56.53,0.72,0.72
2020-04-11 10:00:00,1.59,3.24,17.28,34.98,200.98,227.18,539.73,991.76,4130.13,63.15,63.15,63.15,63.15,63.15,63.15,0.73,0.73
2020-04-11 10:30:00,1.6,3.03,17.39,35.27,200.73,227.78,538.89,988.13,4076.49,55.33,55.33,55.33,55.33,55.33,55.33,0.74,0.74
2020-04-11 11:00:00,1.6,2.95,17.55,35.2,199.1,230.02,537.85,980.52,4056.81,59.15,59.15,59.15,59.15,59.15,59.15,0.75,0.75
2020-04-11 11:30:00,1.59,2.82,17.71,35.08,197.68,224.06,538.2,973.61,4075.95,54.6,54.6,54.6,54.6,54.6,54.6,0.76,0.76
2020-04-11 12:00:00,1.58,2.82,17.79,35.16,198.31,224.35,541.87,975.09,4084.94,51.65,51.65,51.65,51.65,51.65,51.65,0.77,0.77
2020-04-11 12:30:00,1.57,2.95,17.68,35.18,199.37,220.97,542.41,973.91,4093.61,49.3,49.3,49.3,49.3,49.3,49.3,0.75,0.75
2020-04-11 13:00:00,1.57,2.8,17.48,35.24,199.51,220.05,541.05,974.44,4116.87,50.54,50.54,50.54,50.54,50.54,50.54,0.75,0.75
2020-04-11 13:30:00,1.57,2.75,17.36,35.36,198.41,221.64,542.2,975.94,4109.24,41.71,41.71,41.71,41.71,41.71,41.71,0.75,0.75
2020-04-11 14:00:00,1.58,2.8,17.32,35.3,198.17,220.77,539.89,981.26,4082.34,52.01,52.01,52.01,52.01,52.01,52.01,0.74,0.74
2020-04-11 14:30:00,1.57,2.7,17.31,35.28,197.42,220.9,534.43,982.53,4074.71,46.05,46.05,46.05,46.05,46.05,46.05,0.73,0.73
2020-04-11 15:00:00,1.54,2.92,17.19,35.17,197.37,221.37,531.47,980.2,4080.46,50.42,50.42,50.42,50.42,50.42,50.42,0.74,0.74
2020-04-11 15:30:00,1.53,2.88,16.96,35.2,197.9,222.13,532.84,978.24,4007.55,49.25,49.25,49.25,49.25,49.25,49.25,0.72,0.72
2020-04-11 16:00:00,1.51,2.81,16.96,35.21,198.26,220.5,534.76,983.89,4090.37,49.99,49.99,49.99,49.99,49.99,49.99,0.73,0.73
2020-04-11 16:30:00,1.52,2.92,16.86,35.31,199.48,221.7,531.22,983.43,4086.71,38.46,38.46,38.46,38.46,38.46,38.46,0.74,0.74
2020-04-11 17:00:00,1.52,3.16,16.53,35.32,200.71,223.1,522.93,990.43,4095.1,39.05,39.05,39.05,39.05,39.05,39.05,0.78,0.78
2020-04-11 17:30:00,1.49,3.47,16.58,35.21,202.91,224.98,518.94,1003.87,4133.56,41.53,41.53,41.53,41.53,41.53,41.53,0.81,0.81
2020-04-11 18:00:00,1.49,4.14,16.24,34.89,203.99,231.42,511.37,1011.94,4145.82,36.32,36.32,36.32,36.32,36.32,36.32,0.85,0.85
2020-04-11 18:30:00,1.47,5.69,16.11,34.94,206.51,241.26,511.59,1019.89,4240.43,36.86,36.86,36.86,36.86,36.86,36.86,0.87,0.87
2020-04-11 19:00:00,1.49,6.96,16.22,34.96,207.61,250.4,509.26,1027.65,4303.67,43.54,43.54,43.54,43.54,43.54,43.54,0.91,0.91
2020-04-11 19:30:00,1.56,7.64,16.57,35.68,209.06,258.12,512.32,1045.62,4323.25,60.79,60.79,60.79,60.79,60.79,60.79,0.95,0.95
2020-04-11 20:00:00,1.58,8.14,16.69,35.89,208.29,261.61,511.49,1043.68,4299.51,58.25,58.25,58.25,58.25,58.25,58.25,0.97,0.97
2020-04-11 20:30:00,1.55,8.22,16.51,35.58,206.72,261.45,511.67,1039.09,4282.71,58.0,58.0,58.0,58.0,58.0,58.0,0.95,0.95
2020-04-11 21:00:00,1.52,8.25,16.08,34.91,203.89,260.77,509.47,1032.83,4277.7,64.74,64.74,64.74,64.74,64.74,64.74,0.92,0.92
2020-04-11 21:30:00,1.48,8.28,15.83,34.57,202.47,256.03,510.84,1028.97,4293.08,56.74,56.74,56.74,56.74,56.74,56.74,0.9,0.9
2020-04-11 22:00:00,1.47,8.3,15.66,33.9,199.62,253.41,509.32,1021.35,4271.73,55.71,55.71,55.71,55.71,55.71,55.71,0.85,0.85
2020-04-11 22:30:00,1.45,8.15,15.18,33.34,198.63,253.23,505.91,1016.29,4279.14,59.74,59.74,59.74,59.74,59.74,59.74,0.79,0.79
2020-04-11 23:00:00,1.42,7.86,14.9,32.92,196.87,250.72,505.07,1016.47,4302.68,56.84,56.84,56.84,56.84,56.84,56.84,0.75,0.75
2020-04-11 23:30:00,1.41,7.74,14.74,32.65,195.38,250.44,502.59,1005.37,4309.84,56.26,56.26,56.26,56.26,56.26,56.26,0.69,0.69
