,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-04-01 00:00:00,1.43,8.34,16.1,33.86,217.9,294.06,547.23,1139.92,3946.25,294.58,294.58,294.58,294.58,294.58,294.58,0.61,0.61
2020-04-01 00:30:00,1.41,8.24,16.02,33.52,217.28,291.97,544.89,1132.7,3905.59,292.33,292.33,292.33,292.33,292.33,292.33,0.58,0.58
2020-04-01 01:00:00,1.4,7.77,16.02,33.17,217.21,291.03,542.42,1123.21,3883.99,289.05,289.05,289.05,289.05,289.05,289.05,0.56,0.56
2020-04-01 01:30:00,1.4,7.79,15.96,33.08,215.14,289.62,538.49,1116.69,3871.34,289.13,289.13,289.13,289.13,289.13,289.13,0.54,0.54
2020-04-01 02:00:00,1.41,7.73,15.93,33.07,216.15,286.1,541.74,1112.92,3892.18,288.25,288.25,288.25,288.25,288.25,288.25,0.53,0.53
2020-04-01 02:30:00,1.41,7.68,15.89,33.06,215.64,288.72,543.36,1114.09,3840.45,287.39,287.39,287.39,287.39,287.39,287.39,0.52,0.52
2020-04-01 03:00:00,1.4,7.93,15.98,33.45,218.51,291.97,547.03,1116.75,3871.42,280.74,280.74,280.74,280.74,280.74,280.74,0.51,0.51
2020-04-01 03:30:00,1.41,7.75,16.45,33.77,222.13,294.78,555.5,1129.43,3892.41,296.79,296.79,296.79,296.79,296.79,296.79,0.5,0.5
2020-04-01 04:00:00,1.45,7.95,17.21,34.4,227.7,306.42,571.02,1148.98,3921.22,271.51,271.51,271.51,271.51,271.51,271.51,0.52,0.52
2020-04-01 04:30:00,1.48,8.64,17.86,34.95,233.67,318.0,580.87,1167.51,3915.09,274.65,274.65,274.65,274.65,274.65,274.65,0.53,0.53
2020-04-01 05:00:00,1.62,9.33,19.28,36.03,244.47,323.92,601.58,1185.17,3986.18,266.63,266.63,266.63,266.63,266.63,266.63,0.54,0.54
2020-04-01 05:30:00,1.71,9.55,20.63,36.74,252.45,323.47,611.46,1204.41,4051.99,249.79,249.79,249.79,249.79,249.79,249.79,0.56,0.56
2020-04-01 06:00:00,1.8,10.36,22.46,37.6,259.29,329.28,626.28,1218.55,4006.1,238.0,238.0,238.0,238.0,238.0,238.0,0.6,0.6
2020-04-01 06:30:00,1.79,11.72,23.87,37.6,261.89,324.52,635.32,1203.65,3880.09,236.68,236.68,236.68,236.68,236.68,236.68,0.63,0.63
2020-04-01 07:00:00,1.84,10.47,24.4,37.55,264.08,324.11,640.78,1192.85,3796.89,258.19,258.19,258.19,258.19,258.19,258.19,0.65,0.65
2020-04-01 07:30:00,1.89,9.37,24.63,37.67,259.56,321.71,643.89,1178.83,3809.73,257.93,257.93,257.93,257.93,257.93,257.93,0.66,0.66
2020-04-01 08:00:00,2.02,7.83,25.42,37.84,257.3,316.54,641.84,1173.06,3820.43,257.58,257.58,257.58,257.58,257.58,257.58,0.66,0.66
2020-04-01 08:30:00,2.07,6.68,25.75,38.24,254.06,319.45,646.21,1172.8,3793.71,261.34,261.34,261.34,261.34,261.34,261.34,0.66,0.66
2020-04-01 09:00:00,2.12,5.99,25.65,38.51,252.76,321.58,644.24,1158.54,3825.84,260.92,260.92,260.92,260.92,260.92,260.92,0.67,0.67
2020-04-01 09:30:00,2.13,5.35,26.23,38.45,252.58,317.77,639.0,1158.06,3834.54,265.87,265.87,265.87,265.87,265.87,265.87,0.68,0.68
2020-04-01 10:00:00,2.23,5.11,26.52,38.63,254.55,312.5,641.52,1153.22,3830.95,262.37,262.37,262.37,262.37,262.37,262.37,0.67,0.67
2020-04-01 10:30:00,2.22,5.36,26.78,38.83,254.4,313.28,649.62,1147.04,3801.23,267.86,267.86,267.86,267.86,267.86,267.86,0.67,0.67
2020-04-01 11:00:00,2.23,5.22,26.86,38.89,255.34,313.17,655.48,1148.22,3752.35,258.96,258.96,258.96,258.96,258.96,258.96,0.67,0.67
2020-04-01 11:30:00,2.16,4.91,27.06,39.12,256.07,315.22,651.55,1154.89,3721.21,238.58,238.58,238.58,238.58,238.58,238.58,0.67,0.67
2020-04-01 12:00:00,2.14,4.82,26.99,38.75,253.37,316.1,651.52,1157.9,3711.46,205.86,205.86,205.86,205.86,205.86,205.86,0.68,0.68
2020-04-01 12:30:00,2.15,4.96,27.3,38.94,253.96,311.13,644.23,1155.95,3717.39,212.1,212.1,212.1,212.1,212.1,212.1,0.68,0.68
2020-04-01 13:00:00,2.14,4.49,27.56,38.7,252.8,309.37,639.96,1149.59,3679.71,212.88,212.88,212.88,212.88,212.88,212.88,0.65,0.65
2020-04-01 13:30:00,2.1,4.53,27.46,38.97,250.97,308.52,627.39,1144.22,3684.11,204.61,204.61,204.61,204.61,204.61,204.61,0.66,0.66
2020-04-01 14:00:00,2.1,3.65,26.95,38.92,249.74,307.3,627.04,1136.37,3658.03,206.2,206.2,206.2,206.2,206.2,206.2,0.65,0.65
2020-04-01 14:30:00,2.07,3.35,26.11,39.03,248.93,300.55,620.3,1134.09,3644.0,205.92,205.92,205.92,205.92,205.92,205.92,0.63,0.63
2020-04-01 15:00:00,2.01,3.2,25.89,38.9,246.46,300.41,617.45,1134.04,3619.99,203.91,203.91,203.91,203.91,203.91,203.91,0.63,0.63
2020-04-01 15:30:00,1.95,3.26,25.53,38.8,246.98,298.57,612.81,1136.5,3606.24,175.64,175.64,175.64,175.64,175.64,175.64,0.64,0.64
2020-04-01 16:00:00,1.9,3.22,24.5,38.61,246.67,294.99,608.92,1134.15,3597.83,178.43,178.43,178.43,178.43,178.43,178.43,0.65,0.65
2020-04-01 16:30:00,1.84,3.05,23.51,38.21,247.62,296.88,599.26,1148.14,3626.5,180.13,180.13,180.13,180.13,180.13,180.13,0.68,0.68
2020-04-01 17:00:00,1.76,3.38,22.57,37.57,245.41,303.47,584.47,1162.34,3659.22,180.52,180.52,180.52,180.52,180.52,180.52,0.7,0.7
2020-04-01 17:30:00,1.69,3.97,21.82,37.21,247.72,309.53,582.69,1183.8,3806.56,178.6,178.6,178.6,178.6,178.6,178.6,0.76,0.76
2020-04-01 18:00:00,1.63,4.76,20.83,37.36,245.81,316.25,575.31,1190.17,3866.96,178.82,178.82,178.82,178.82,178.82,178.82,0.82,0.82
2020-04-01 18:30:00,1.6,6.33,20.21,37.41,245.94,325.49,566.31,1196.4,3948.55,186.73,186.73,186.73,186.73,186.73,186.73,0.87,0.87
2020-04-01 19:00:00,1.6,7.98,20.0,37.46,242.82,327.19,560.33,1194.84,3911.33,184.95,184.95,184.95,184.95,184.95,184.95,0.9,0.9
2020-04-01 19:30:00,1.67,8.86,20.12,37.84,242.2,328.26,562.42,1188.54,3903.53,175.79,175.79,175.79,175.79,175.79,175.79,0.96,0.96
2020-04-01 20:00:00,1.66,8.94,19.64,37.3,236.55,325.67,562.86,1184.67,3882.35,178.77,178.77,178.77,178.77,178.77,178.77,0.98,0.98
2020-04-01 20:30:00,1.64,8.94,19.12,36.84,232.84,320.97,559.87,1185.18,3856.33,176.53,176.53,176.53,176.53,176.53,176.53,0.95,0.95
2020-04-01 21:00:00,1.59,9.58,18.63,36.01,229.52,315.09,554.79,1175.52,3849.1,167.15,167.15,167.15,167.15,167.15,167.15,0.91,0.91
2020-04-01 21:30:00,1.56,9.86,18.4,35.63,227.77,312.56,552.01,1176.19,3866.75,177.01,177.01,177.01,177.01,177.01,177.01,0.87,0.87
2020-04-01 22:00:00,1.53,9.4,17.92,34.83,225.18,311.07,550.03,1166.16,3899.41,179.16,179.16,179.16,179.16,179.16,179.16,0.83,0.83
2020-04-01 22:30:00,1.49,9.25,17.61,34.21,221.18,312.33,545.43,1154.21,3933.62,180.27,180.27,180.27,180.27,180.27,180.27,0.78,0.78
2020-04-01 23:00:00,1.47,8.73,17.2,33.78,217.87,310.51,542.15,1155.86,3946.15,175.93,175.93,175.93,175.93,175.93,175.93,0.7,0.7
2020-04-01 23:30:00,1.46,8.75,16.86,33.49,215.44,308.65,536.42,1146.51,3925.76,175.96,175.96,175.96,175.96,175.96,175.96,0.66,0.66
