,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-02-23 00:00:00,1.5346,8.8857,16.6384,35.7896,208.3544,290.1428,524.2875,1062.0467,3909.9668,337.3388,337.3388,337.3388,337.3388,337.3388,337.3388,0.6602,0.6602
2020-02-23 00:30:00,1.5241,8.8098,16.3977,35.3258,206.2227,290.1311,522.8659,1053.9566,3897.5303,352.0877,352.0877,352.0877,352.0877,352.0877,352.0877,0.6391,0.6391
2020-02-23 01:00:00,1.5143,8.6553,16.2066,35.2043,204.1824,288.0937,522.1364,1055.9189,3889.0099,340.3293,340.3293,340.3293,340.3293,340.3293,340.3293,0.6142,0.6142
2020-02-23 01:30:00,1.4909,8.6432,15.9773,34.7567,201.9492,286.6103,517.8402,1047.2469,3872.5449,350.2873,350.2873,350.2873,350.2873,350.2873,350.2873,0.6029,0.6029
2020-02-23 02:00:00,1.4833,8.5225,15.9621,34.6058,201.2205,286.6521,514.6884,1038.7574,3866.8666,347.3453,347.3453,347.3453,347.3453,347.3453,347.3453,0.5787,0.5787
2020-02-23 02:30:00,1.4849,8.2915,15.9475,34.5041,200.4516,287.2841,513.7818,1043.8861,3877.3347,340.3161,340.3161,340.3161,340.3161,340.3161,340.3161,0.5634,0.5634
2020-02-23 03:00:00,1.4712,8.3903,15.9618,34.5662,201.0429,287.4938,514.7898,1037.2998,3877.0396,341.512,341.512,341.512,341.512,341.512,341.512,0.5625,0.5625
2020-02-23 03:30:00,1.4821,8.4619,15.982,34.5168,201.7552,286.6316,514.5946,1032.1943,3839.2919,340.268,340.268,340.268,340.268,340.268,340.268,0.5671,0.5671
2020-02-23 04:00:00,1.4871,8.4906,16.1717,34.814,204.3066,288.5312,514.3722,1038.475,3816.2676,338.8955,338.8955,338.8955,338.8955,338.8955,338.8955,0.5731,0.5731
2020-02-23 04:30:00,1.5039,8.6308,16.4121,35.3002,205.997,288.5007,516.9564,1037.9478,3809.7164,338.0841,338.0841,338.0841,338.0841,338.0841,338.0841,0.5754,0.5754
2020-02-23 05:00:00,1.5396,8.7206,16.9057,35.8966,209.8043,289.8582,518.5576,1045.8562,3805.0173,328.3058,328.3058,328.3058,328.3058,328.3058,328.3058,0.598,0.598
2020-02-23 05:30:00,1.5638,8.7147,17.1428,36.6755,210.8565,291.4207,521.7639,1046.723,3786.5513,334.3283,334.3283,334.3283,334.3283,334.3283,334.3283,0.6057,0.6057
