,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-03-28 00:00:00,1.4516,8.6064,15.9959,34.1251,210.0953,297.5852,527.2194,1060.3517,4022.0015,129.0715,129.0715,129.0715,129.0715,129.0715,129.0715,0.6652,0.6652
2020-03-28 00:30:00,1.439,8.395,15.9552,33.718,207.8742,298.8784,527.9718,1053.0468,3978.4902,122.7744,122.7744,122.7744,122.7744,122.7744,122.7744,0.6354,0.6354
2020-03-28 01:00:00,1.4307,8.3154,15.9706,33.3665,207.8595,297.2617,519.9734,1045.4977,3956.7099,123.4444,123.4444,123.4444,123.4444,123.4444,123.4444,0.5991,0.5991
2020-03-28 01:30:00,1.4379,8.5048,15.9327,33.1888,207.1786,295.1492,518.2959,1044.1524,3989.7608,115.5627,115.5627,115.5627,115.5627,115.5627,115.5627,0.5735,0.5735
2020-03-28 02:00:00,1.4377,8.4819,15.8537,33.1171,207.3718,292.4332,517.423,1039.6811,3986.9293,123.3551,123.3551,123.3551,123.3551,123.3551,123.3551,0.5562,0.5562
2020-03-28 02:30:00,1.4339,8.4661,15.8396,33.0828,206.5201,290.1663,517.4169,1040.2454,4006.1367,119.8036,119.8036,119.8036,119.8036,119.8036,119.8036,0.5431,0.5431
2020-03-28 03:00:00,1.4342,8.5654,15.8716,33.2185,206.0326,289.052,517.127,1040.1311,3998.8865,138.0191,138.0191,138.0191,138.0191,138.0191,138.0191,0.5436,0.5436
2020-03-28 03:30:00,1.4346,8.5397,15.6996,33.1705,206.7984,290.2845,516.9784,1045.8339,3956.345,125.4036,125.4036,125.4036,125.4036,125.4036,125.4036,0.5434,0.5434
2020-03-28 04:00:00,1.4463,8.5134,15.7255,33.6287,209.3827,290.4026,523.7752,1053.2718,3983.4976,135.6323,135.6323,135.6323,135.6323,135.6323,135.6323,0.5546,0.5546
2020-03-28 04:30:00,1.4616,8.5184,16.0896,34.0404,210.0443,291.1443,528.3637,1059.9593,3988.1844,127.9999,127.9999,127.9999,127.9999,127.9999,127.9999,0.5596,0.5596
