,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-06-14 00:00:00,1.4939,10.3959,16.1532,34.6528,218.4143,272.0231,567.0324,1069.2165,4060.4195,58.8977,58.8977,58.8977,58.8977,58.8977,58.8977,0.6764,0.6764
2020-06-14 00:30:00,1.4558,10.2915,15.9921,34.2555,216.4209,266.349,565.3478,1062.2596,4056.1583,60.563,60.563,60.563,60.563,60.563,60.563,0.6419,0.6419
2020-06-14 01:00:00,1.4547,9.8476,16.2,33.8737,215.611,264.5621,562.5067,1056.2693,4056.661,62.52,62.52,62.52,62.52,62.52,62.52,0.6082,0.6082
2020-06-14 01:30:00,1.456,9.3754,15.9901,33.6562,213.4986,261.9748,559.3734,1053.4148,4038.9479,58.0874,58.0874,58.0874,58.0874,58.0874,58.0874,0.5872,0.5872
2020-06-14 02:00:00,1.4444,9.3074,15.6916,33.4964,212.9643,263.4807,559.1238,1052.1951,4047.2621,69.2563,69.2563,69.2563,69.2563,69.2563,69.2563,0.5704,0.5704
2020-06-14 02:30:00,1.4196,9.1363,15.3965,33.233,212.0281,260.2786,558.922,1043.2707,4023.2633,68.3956,68.3956,68.3956,68.3956,68.3956,68.3956,0.5448,0.5448
2020-06-14 03:00:00,1.418,8.7723,15.34,32.8664,213.1235,260.3755,557.2414,1044.074,3999.9725,60.5248,60.5248,60.5248,60.5248,60.5248,60.5248,0.5346,0.5346
2020-06-14 03:30:00,1.412,8.831,15.1206,32.7667,213.0018,260.4769,559.4102,1046.3133,3976.5646,59.2966,59.2966,59.2966,59.2966,59.2966,59.2966,0.5309,0.5309
2020-06-14 04:00:00,1.4121,9.1986,15.182,32.7984,214.1831,261.0471,558.3978,1043.6088,3956.2003,60.4448,60.4448,60.4448,60.4448,60.4448,60.4448,0.5318,0.5318
2020-06-14 04:30:00,1.407,9.4945,15.3121,33.0615,214.399,262.2961,558.9799,1045.5339,3956.7809,66.2013,66.2013,66.2013,66.2013,66.2013,66.2013,0.534,0.534
2020-06-14 05:00:00,1.4321,9.8514,15.4979,33.7729,216.571,262.5713,561.1162,1052.3039,3950.9048,59.9142,59.9142,59.9142,59.9142,59.9142,59.9142,0.5395,0.5395
2020-06-14 05:30:00,1.4032,9.4679,15.4106,33.9227,215.826,255.5773,557.7163,1050.4813,3910.584,57.8662,57.8662,57.8662,57.8662,57.8662,57.8662,0.5432,0.5432
2020-06-14 06:00:00,1.3677,8.61,15.3805,34.003,216.1487,251.702,556.5449,1043.2411,3834.3081,47.1382,47.1382,47.1382,47.1382,47.1382,47.1382,0.5415,0.5415
2020-06-14 06:30:00,1.3602,7.3444,15.4846,34.2808,214.0643,243.833,556.3703,1038.6377,3722.4904,45.2175,45.2175,45.2175,45.2175,45.2175,45.2175,0.5468,0.5468
2020-06-14 07:00:00,1.376,6.0044,15.8555,34.8319,214.7067,237.3999,556.8408,1028.4561,3639.2316,54.6573,54.6573,54.6573,54.6573,54.6573,54.6573,0.548,0.548
2020-06-14 07:30:00,1.4349,5.0163,16.0109,35.0849,212.9815,231.1188,557.0281,1014.4656,3583.2453,54.5307,54.5307,54.5307,54.5307,54.5307,54.5307,0.5493,0.5493
2020-06-14 08:00:00,1.467,4.4416,16.7716,35.9144,214.8491,230.0013,558.9176,1008.4228,3577.7828,54.4561,54.4561,54.4561,54.4561,54.4561,54.4561,0.565,0.565
2020-06-14 08:30:00,1.4964,4.3409,17.2727,36.3095,213.8958,230.8246,560.1065,1006.8823,3596.9025,59.9634,59.9634,59.9634,59.9634,59.9634,59.9634,0.5925,0.5925
2020-06-14 09:00:00,1.5376,4.2756,17.8066,36.9141,214.7364,231.6446,563.4084,1007.57,3626.9899,54.0155,54.0155,54.0155,54.0155,54.0155,54.0155,0.6145,0.6145
2020-06-14 09:30:00,1.5881,4.3831,18.1212,37.5917,215.4653,228.308,568.2439,1008.8035,3655.5718,58.487,58.487,58.487,58.487,58.487,58.487,0.6314,0.6314
2020-06-14 10:00:00,1.6683,4.1716,18.6443,38.3078,217.2613,230.4512,574.5815,1012.7018,3680.6847,55.4646,55.4646,55.4646,55.4646,55.4646,55.4646,0.6559,0.6559
2020-06-14 10:30:00,1.7157,4.0391,19.2942,38.7047,219.2089,228.529,573.5121,1015.3985,3699.2292,51.0126,51.0126,51.0126,51.0126,51.0126,51.0126,0.6835,0.6835
2020-06-14 11:00:00,1.7651,4.0412,20.1941,39.1728,220.8014,230.3551,576.7018,1015.5885,3703.2229,54.3973,54.3973,54.3973,54.3973,54.3973,54.3973,0.6976,0.6976
2020-06-14 11:30:00,1.8192,3.9939,20.7272,39.6833,224.0349,230.423,587.7166,1022.0013,3743.7617,57.4427,57.4427,57.4427,57.4427,57.4427,57.4427,0.7142,0.7142
2020-06-14 12:00:00,1.8612,4.0971,21.011,40.0674,226.1836,232.2206,589.9944,1026.2229,3720.958,54.5993,54.5993,54.5993,54.5993,54.5993,54.5993,0.7389,0.7389
2020-06-14 12:30:00,1.8861,4.1189,21.3058,40.4467,229.1741,232.8362,589.5111,1034.7697,3745.1466,59.2126,59.2126,59.2126,59.2126,59.2126,59.2126,0.7432,0.7432
2020-06-14 13:00:00,1.9018,4.2031,21.6408,40.8026,230.5359,235.0319,589.2076,1044.0873,3777.8288,55.9143,55.9143,55.9143,55.9143,55.9143,55.9143,0.7672,0.7672
2020-06-14 13:30:00,1.9274,4.3964,21.7821,40.9665,230.9712,241.2841,596.1789,1049.0746,3784.4711,46.787,46.787,46.787,46.787,46.787,46.787,0.7786,0.7786
2020-06-14 14:00:00,1.9532,4.5568,22.009,41.3603,232.9588,240.6873,601.1576,1051.4137,3793.7932,50.3107,50.3107,50.3107,50.3107,50.3107,50.3107,0.8027,0.8027
2020-06-14 14:30:00,1.9691,4.7408,22.2954,41.7109,233.7952,240.9741,599.156,1055.6927,3799.5756,51.9647,51.9647,51.9647,51.9647,51.9647,51.9647,0.8023,0.8023
2020-06-14 15:00:00,1.993,4.8483,22.3344,41.9452,235.1717,242.3428,595.7799,1058.762,3799.738,52.3787,52.3787,52.3787,52.3787,52.3787,52.3787,0.8304,0.8304
2020-06-14 15:30:00,2.0135,4.817,22.4635,41.8699,236.2239,244.7346,596.6401,1064.3455,3814.9064,47.3494,47.3494,47.3494,47.3494,47.3494,47.3494,0.8701,0.8701
2020-06-14 16:00:00,2.0028,4.7839,22.3588,41.9618,236.3927,243.1899,595.4672,1065.386,3840.8145,51.9365,51.9365,51.9365,51.9365,51.9365,51.9365,0.8961,0.8961
2020-06-14 16:30:00,2.0374,4.6766,22.2867,41.9227,238.4266,245.2414,593.2961,1071.5254,3872.0939,52.3009,52.3009,52.3009,52.3009,52.3009,52.3009,0.9523,0.9523
2020-06-14 17:00:00,2.0071,4.8632,21.9968,41.8703,238.6524,244.492,589.8104,1074.008,3868.1894,45.3929,45.3929,45.3929,45.3929,45.3929,45.3929,0.9908,0.9908
2020-06-14 17:30:00,1.9911,5.1027,21.5725,41.7231,240.5596,247.4565,587.3059,1084.9414,3873.5961,45.7774,45.7774,45.7774,45.7774,45.7774,45.7774,1.0113,1.0113
2020-06-14 18:00:00,1.972,5.7162,20.9373,41.3986,239.8505,251.8653,583.2556,1091.1437,3892.6944,48.8826,48.8826,48.8826,48.8826,48.8826,48.8826,1.0365,1.0365
2020-06-14 18:30:00,1.915,6.3816,20.4363,41.1867,241.2811,257.9518,586.0793,1104.908,4003.1579,45.3999,45.3999,45.3999,45.3999,45.3999,45.3999,1.0639,1.0639
2020-06-14 19:00:00,1.8854,7.6233,19.7912,40.5043,240.1266,268.8445,585.2187,1118.2288,4041.9317,43.7809,43.7809,43.7809,43.7809,43.7809,43.7809,1.0641,1.0641
2020-06-14 19:30:00,1.8052,8.9635,19.1362,40.1009,239.7071,277.0835,578.6866,1125.1501,4130.8541,42.3472,42.3472,42.3472,42.3472,42.3472,42.3472,1.055,1.055
2020-06-14 20:00:00,1.7967,10.2366,18.6754,39.5272,237.5986,284.0598,573.5781,1128.0231,4133.6264,59.039,59.039,59.039,59.039,59.039,59.039,1.0254,1.0254
2020-06-14 20:30:00,1.8266,11.1777,18.7626,40.1237,237.7647,288.3801,574.9678,1137.0936,4127.514,70.0744,70.0744,70.0744,70.0744,70.0744,70.0744,1.0509,1.0509
2020-06-14 21:00:00,1.7783,11.9363,18.7838,39.7061,234.7113,289.842,568.94,1142.384,4127.8237,68.3932,68.3932,68.3932,68.3932,68.3932,68.3932,1.0557,1.0557
2020-06-14 21:30:00,1.7413,12.4295,18.2334,39.1052,232.3898,287.2477,565.5524,1144.2167,4118.0873,65.315,65.315,65.315,65.315,65.315,65.315,1.0313,1.0313
2020-06-14 22:00:00,1.6832,12.045,17.4851,38.0717,229.8653,284.0615,560.4369,1137.191,4118.1916,68.7787,68.7787,68.7787,68.7787,68.7787,68.7787,0.9613,0.9613
2020-06-14 22:30:00,1.6448,11.4806,16.9706,37.129,227.1171,282.5161,560.4174,1133.8566,4134.1645,72.5267,72.5267,72.5267,72.5267,72.5267,72.5267,0.8925,0.8925
2020-06-14 23:00:00,1.603,11.2885,16.7369,36.4681,225.7019,278.8248,556.6889,1134.6819,4126.1405,67.6541,67.6541,67.6541,67.6541,67.6541,67.6541,0.8313,0.8313
2020-06-14 23:30:00,1.5762,11.1542,16.4658,35.7533,224.2193,275.7502,558.1216,1130.5233,4166.938,68.2147,68.2147,68.2147,68.2147,68.2147,68.2147,0.7559,0.7559
