,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-02-19 00:00:00,1.5541,9.3391,17.7109,37.1824,239.7125,320.2889,573.6363,1183.326,4068.6405,337.8673,337.8673,337.8673,337.8673,337.8673,337.8673,0.6501,0.6501
2020-02-19 00:30:00,1.5538,8.9668,17.5098,36.568,237.0814,316.6259,571.6934,1173.1689,4024.7828,336.3389,336.3389,336.3389,336.3389,336.3389,336.3389,0.6315,0.6315
2020-02-19 01:00:00,1.537,8.9318,17.3375,36.1655,233.9629,314.0387,568.1899,1169.9636,4013.9966,343.4184,343.4184,343.4184,343.4184,343.4184,343.4184,0.613,0.613
2020-02-19 01:30:00,1.5325,8.8832,17.2894,35.9199,230.7207,313.1479,564.7737,1155.793,4067.4817,333.845,333.845,333.845,333.845,333.845,333.845,0.6032,0.6032
2020-02-19 02:00:00,1.5348,8.9194,17.4764,35.6913,228.791,310.7117,558.0316,1151.0417,4039.3368,335.2165,335.2165,335.2165,335.2165,335.2165,335.2165,0.6055,0.6055
2020-02-19 02:30:00,1.5327,8.9278,17.4176,35.5095,228.0429,311.9322,561.3473,1142.8696,3980.1928,334.406,334.406,334.406,334.406,334.406,334.406,0.5856,0.5856
2020-02-19 03:00:00,1.5366,9.0093,17.7064,35.8664,231.1616,311.4305,568.6696,1147.3783,3962.4007,331.0749,331.0749,331.0749,331.0749,331.0749,331.0749,0.5771,0.5771
2020-02-19 03:30:00,1.5485,9.0465,18.0195,36.1659,233.239,315.2054,569.5585,1145.2506,3945.8749,326.5058,326.5058,326.5058,326.5058,326.5058,326.5058,0.5795,0.5795
2020-02-19 04:00:00,1.5896,9.1771,18.8453,37.1431,239.9607,319.0983,577.0562,1154.6694,3980.2867,310.4929,310.4929,310.4929,310.4929,310.4929,310.4929,0.5874,0.5874
2020-02-19 04:30:00,1.6383,9.9106,19.7904,37.931,246.0385,326.7363,586.399,1169.7112,3968.0518,304.0479,304.0479,304.0479,304.0479,304.0479,304.0479,0.6184,0.6184
2020-02-19 05:00:00,1.7373,10.865,21.7616,39.6548,258.9896,340.6108,618.8203,1203.5174,4019.1348,307.3402,307.3402,307.3402,307.3402,307.3402,307.3402,0.6492,0.6492
2020-02-19 05:30:00,1.8303,11.5056,23.7247,41.0927,270.8687,352.1879,646.5447,1239.1208,4068.8302,312.8809,312.8809,312.8809,312.8809,312.8809,312.8809,0.6888,0.6888
2020-02-19 06:00:00,2.0339,13.7065,26.9908,43.1058,288.433,366.8003,690.4055,1283.262,4129.6151,310.9639,310.9639,310.9639,310.9639,310.9639,310.9639,0.7444,0.7444
2020-02-19 06:30:00,2.1281,14.7838,29.2783,44.069,300.9983,375.1827,725.6683,1304.2167,4144.7237,295.9652,295.9652,295.9652,295.9652,295.9652,295.9652,0.8095,0.8095
2020-02-19 07:00:00,2.2791,14.974,31.4772,44.6726,310.9142,382.6141,747.4173,1310.8357,4188.018,289.9088,289.9088,289.9088,289.9088,289.9088,289.9088,0.8361,0.8361
2020-02-19 07:30:00,2.4386,14.4223,33.1724,45.199,315.9666,387.6418,758.6818,1313.1357,4147.5863,306.827,306.827,306.827,306.827,306.827,306.827,0.7931,0.7931
2020-02-19 08:00:00,2.6406,12.2999,34.9878,45.881,320.3525,381.8902,776.5039,1316.2981,4098.2974,333.5863,333.5863,333.5863,333.5863,333.5863,333.5863,0.7498,0.7498
2020-02-19 08:30:00,2.7494,10.1101,35.9319,46.4878,319.2853,377.3022,790.3051,1305.3682,4062.9663,340.8043,340.8043,340.8043,340.8043,340.8043,340.8043,0.7154,0.7154
2020-02-19 09:00:00,2.8851,8.6396,36.1498,47.0132,319.5513,370.1256,799.9532,1306.667,4035.867,335.3114,335.3114,335.3114,335.3114,335.3114,335.3114,0.6705,0.6705
2020-02-19 09:30:00,2.9405,7.9086,36.5321,47.5526,319.5351,364.1783,811.5704,1308.76,4011.928,339.4684,339.4684,339.4684,339.4684,339.4684,339.4684,0.6442,0.6442
2020-02-19 10:00:00,3.0039,7.058,36.9913,47.6744,322.4228,362.6055,811.276,1308.7092,4000.7596,340.05,340.05,340.05,340.05,340.05,340.05,0.6149,0.6149
2020-02-19 10:30:00,3.0009,7.0528,37.4379,48.0087,323.1608,360.1076,815.4387,1307.1712,4004.4454,321.1712,321.1712,321.1712,321.1712,321.1712,321.1712,0.5933,0.5933
2020-02-19 11:00:00,2.9941,6.741,37.5786,48.0444,325.0447,364.4535,824.5029,1308.6432,3992.5429,300.7102,300.7102,300.7102,300.7102,300.7102,300.7102,0.5838,0.5838
2020-02-19 11:30:00,2.953,6.3962,37.2047,48.2403,326.9305,365.9034,826.4401,1310.6354,4037.9209,296.7732,296.7732,296.7732,296.7732,296.7732,296.7732,0.5876,0.5876
2020-02-19 12:00:00,2.9036,6.3497,37.6091,48.4352,327.0523,361.8965,823.1542,1314.1154,4063.2571,300.8163,300.8163,300.8163,300.8163,300.8163,300.8163,0.5737,0.5737
2020-02-19 12:30:00,2.8817,6.105,38.0905,48.6859,330.1256,362.1607,831.1645,1319.5734,4102.1974,307.6986,307.6986,307.6986,307.6986,307.6986,307.6986,0.5505,0.5505
2020-02-19 13:00:00,2.8899,6.1087,38.5583,49.1116,332.1368,368.5143,833.9642,1324.5404,4083.671,323.4518,323.4518,323.4518,323.4518,323.4518,323.4518,0.5207,0.5207
2020-02-19 13:30:00,2.9004,5.7465,38.1995,49.3128,334.8508,366.7692,836.5996,1334.2308,4057.0368,309.0538,309.0538,309.0538,309.0538,309.0538,309.0538,0.5401,0.5401
2020-02-19 14:00:00,2.8746,5.5971,37.9193,49.6021,334.8985,362.5696,835.6318,1333.4779,4070.8861,335.8781,335.8781,335.8781,335.8781,335.8781,335.8781,0.5334,0.5334
2020-02-19 14:30:00,2.8532,5.6176,36.8883,49.6028,334.1604,362.0769,830.0549,1338.8171,4072.2487,335.4443,335.4443,335.4443,335.4443,335.4443,335.4443,0.5428,0.5428
2020-02-19 15:00:00,2.8087,5.4864,36.2917,49.2335,334.3511,361.7973,832.0139,1331.925,4033.4795,337.1131,337.1131,337.1131,337.1131,337.1131,337.1131,0.5459,0.5459
2020-02-19 15:30:00,2.7068,5.7597,35.0115,49.1424,334.2465,360.7675,819.1863,1347.704,4042.431,352.3935,352.3935,352.3935,352.3935,352.3935,352.3935,0.561,0.561
2020-02-19 16:00:00,2.6437,6.5529,33.8757,49.0796,335.0592,366.9814,812.1993,1350.4243,4118.0411,355.8325,355.8325,355.8325,355.8325,355.8325,355.8325,0.6134,0.6134
