,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-03-02 00:00:00,1.528,9.2181,16.4118,35.4034,210.9726,308.0754,512.8344,1083.3611,4116.805,364.7598,364.7598,364.7598,364.7598,364.7598,364.7598,0.6655,0.6655
2020-03-02 00:30:00,1.5186,8.8933,16.2332,35.0974,210.4489,307.1219,513.1555,1074.2855,4121.1542,369.3798,369.3798,369.3798,369.3798,369.3798,369.3798,0.6482,0.6482
2020-03-02 01:00:00,1.504,8.7571,16.3793,34.6737,211.1458,306.4043,515.6814,1082.0467,4115.7769,357.1907,357.1907,357.1907,357.1907,357.1907,357.1907,0.6334,0.6334
2020-03-02 01:30:00,1.4838,9.0239,16.3744,34.4255,211.495,305.8397,513.4829,1076.2655,4083.8734,362.2756,362.2756,362.2756,362.2756,362.2756,362.2756,0.6146,0.6146
2020-03-02 02:00:00,1.4924,9.0479,16.5367,34.5653,213.1181,305.3848,515.8687,1070.1956,4097.5265,362.9473,362.9473,362.9473,362.9473,362.9473,362.9473,0.6175,0.6175
2020-03-02 02:30:00,1.4927,9.0753,16.5746,34.5913,212.54,304.0419,520.9235,1073.6641,4075.777,361.5534,361.5534,361.5534,361.5534,361.5534,361.5534,0.608,0.608
2020-03-02 03:00:00,1.5206,9.3246,16.8333,34.7557,215.8684,304.8567,526.7043,1077.2156,4102.3139,359.2241,359.2241,359.2241,359.2241,359.2241,359.2241,0.6051,0.6051
2020-03-02 03:30:00,1.5228,9.2721,17.3589,34.9877,221.5974,306.7212,536.0598,1081.2321,4130.9192,356.9509,356.9509,356.9509,356.9509,356.9509,356.9509,0.6063,0.6063
2020-03-02 04:00:00,1.5523,9.6207,18.4192,36.0891,230.3132,314.8422,551.7733,1096.3892,4175.4627,367.1661,367.1661,367.1661,367.1661,367.1661,367.1661,0.614,0.614
2020-03-02 04:30:00,1.5983,10.2507,19.1297,36.9392,238.8515,324.805,570.5408,1118.2865,4199.934,356.176,356.176,356.176,356.176,356.176,356.176,0.6321,0.6321
2020-03-02 05:00:00,1.7104,11.7256,21.0984,38.4596,252.2328,336.9877,603.2388,1151.5996,4260.3972,354.2472,354.2472,354.2472,354.2472,354.2472,354.2472,0.6679,0.6679
2020-03-02 05:30:00,1.7786,12.8172,23.0847,39.5786,264.3136,347.7013,632.6126,1178.5764,4326.6456,353.4408,353.4408,353.4408,353.4408,353.4408,353.4408,0.7097,0.7097
2020-03-02 06:00:00,2.0179,15.0332,25.9916,41.8205,283.2584,366.2595,673.9861,1225.4,4395.7335,357.9691,357.9691,357.9691,357.9691,357.9691,357.9691,0.7814,0.7814
2020-03-02 06:30:00,2.1305,16.013,27.8832,42.1804,293.9204,370.7695,707.8229,1241.3871,4418.0174,336.5825,336.5825,336.5825,336.5825,336.5825,336.5825,0.8437,0.8437
2020-03-02 07:00:00,2.1893,16.5174,30.1001,43.0706,301.8121,373.0045,732.2102,1251.689,4424.0864,348.5935,348.5935,348.5935,348.5935,348.5935,348.5935,0.8364,0.8364
2020-03-02 07:30:00,2.4053,16.2793,32.6164,43.9032,307.4746,377.8572,751.0235,1257.2009,4390.1551,362.0343,362.0343,362.0343,362.0343,362.0343,362.0343,0.7851,0.7851
2020-03-02 08:00:00,2.6712,14.1358,34.3212,45.1024,312.9605,378.3692,764.66,1260.7418,4364.541,351.4725,351.4725,351.4725,351.4725,351.4725,351.4725,0.7294,0.7294
2020-03-02 08:30:00,2.7459,12.7024,35.2913,45.9123,314.9529,367.3253,782.0644,1263.6155,4413.359,348.6836,348.6836,348.6836,348.6836,348.6836,348.6836,0.6762,0.6762
