,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-04-08 00:00:00,1.41,7.91,16.18,33.8,218.52,296.33,540.02,1131.96,4004.61,157.38,157.38,157.38,157.38,157.38,157.38,0.65,0.65
2020-04-08 00:30:00,1.4,7.79,16.1,33.54,216.34,294.2,538.24,1123.34,4016.67,159.88,159.88,159.88,159.88,159.88,159.88,0.6,0.6
2020-04-08 01:00:00,1.4,7.85,15.91,33.37,217.24,292.77,535.87,1121.31,3991.45,155.67,155.67,155.67,155.67,155.67,155.67,0.58,0.58
2020-04-08 01:30:00,1.41,7.74,15.93,33.09,215.84,291.55,535.87,1111.87,3943.15,163.05,163.05,163.05,163.05,163.05,163.05,0.56,0.56
2020-04-08 02:00:00,1.4,7.88,15.88,32.84,216.41,289.11,531.2,1098.76,3896.82,150.33,150.33,150.33,150.33,150.33,150.33,0.54,0.54
2020-04-08 02:30:00,1.4,7.73,15.78,32.96,216.35,288.96,534.65,1098.96,3901.29,154.94,154.94,154.94,154.94,154.94,154.94,0.53,0.53
2020-04-08 03:00:00,1.39,7.92,16.2,33.1,217.07,288.03,543.11,1097.47,3899.34,150.88,150.88,150.88,150.88,150.88,150.88,0.53,0.53
2020-04-08 03:30:00,1.4,7.88,16.59,33.2,217.66,286.69,547.02,1109.05,3886.48,151.74,151.74,151.74,151.74,151.74,151.74,0.53,0.53
2020-04-08 04:00:00,1.43,8.12,17.53,33.81,221.6,293.66,551.16,1112.74,3913.82,150.6,150.6,150.6,150.6,150.6,150.6,0.54,0.54
2020-04-08 04:30:00,1.46,8.66,18.02,34.41,227.48,299.59,555.41,1128.17,3961.89,157.92,157.92,157.92,157.92,157.92,157.92,0.54,0.54
2020-04-08 05:00:00,1.53,8.92,19.02,35.43,234.51,308.45,575.76,1152.31,4005.0,161.95,161.95,161.95,161.95,161.95,161.95,0.56,0.56
2020-04-08 05:30:00,1.58,9.16,20.29,36.36,240.17,310.24,592.09,1181.4,4029.79,158.6,158.6,158.6,158.6,158.6,158.6,0.58,0.58
2020-04-08 06:00:00,1.69,10.05,22.38,37.98,251.49,318.32,612.58,1215.47,4058.83,163.48,163.48,163.48,163.48,163.48,163.48,0.62,0.62
2020-04-08 06:30:00,1.71,10.54,23.48,38.57,257.8,323.2,621.72,1224.56,4053.11,160.03,160.03,160.03,160.03,160.03,160.03,0.64,0.64
