,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-06-21 00:00:00,1.6436,11.461,17.2123,36.8125,226.0661,278.5321,580.949,1106.1332,4105.8779,55.9946,55.9946,55.9946,55.9946,55.9946,55.9946,0.8726,0.8726
2020-06-21 00:30:00,1.5997,11.0147,17.099,36.5737,224.8913,275.3962,577.3055,1100.894,4114.5245,51.1632,51.1632,51.1632,51.1632,51.1632,51.1632,0.8176,0.8176
2020-06-21 01:00:00,1.5804,10.6974,16.8643,36.207,223.2485,272.2395,575.4452,1094.4838,4110.0559,55.6075,55.6075,55.6075,55.6075,55.6075,55.6075,0.779,0.779
2020-06-21 01:30:00,1.5643,10.4513,16.6922,35.9896,221.1394,265.6908,570.9649,1088.8378,4079.4474,54.7524,54.7524,54.7524,54.7524,54.7524,54.7524,0.7353,0.7353
2020-06-21 02:00:00,1.5399,10.2493,16.4469,35.493,220.0134,261.9299,568.9155,1086.8782,4075.9772,53.4625,53.4625,53.4625,53.4625,53.4625,53.4625,0.6985,0.6985
2020-06-21 02:30:00,1.5285,10.1145,16.143,35.1914,218.7988,259.9756,567.0554,1080.1325,4041.7862,53.0877,53.0877,53.0877,53.0877,53.0877,53.0877,0.6637,0.6637
2020-06-21 03:00:00,1.5149,10.4114,15.9982,34.8727,218.7423,261.004,568.3407,1076.4014,4044.9274,52.6862,52.6862,52.6862,52.6862,52.6862,52.6862,0.6413,0.6413
2020-06-21 03:30:00,1.5127,10.086,15.8294,34.7014,218.0792,258.493,563.6199,1074.3174,4008.9426,51.0104,51.0104,51.0104,51.0104,51.0104,51.0104,0.6064,0.6064
2020-06-21 04:00:00,1.5053,9.6842,15.7996,35.069,218.3659,257.0365,561.9676,1069.1073,3979.2484,49.7993,49.7993,49.7993,49.7993,49.7993,49.7993,0.5973,0.5973
2020-06-21 04:30:00,1.5024,9.7041,15.8137,35.2441,218.5094,260.9994,563.2289,1062.7116,3982.2701,54.6184,54.6184,54.6184,54.6184,54.6184,54.6184,0.6009,0.6009
