,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-02-11 00:00:00,1.5699,8.457,17.7628,36.7913,239.4387,329.4442,581.2397,1198.8772,4155.2373,341.6155,341.6155,341.6155,341.6155,341.6155,341.6155,0.6675,0.6675
2020-02-11 00:30:00,1.5704,8.316,17.5303,36.2633,237.0529,325.2097,574.7585,1185.519,4164.6797,336.1941,336.1941,336.1941,336.1941,336.1941,336.1941,0.6378,0.6378
2020-02-11 01:00:00,1.5415,8.1035,17.2638,36.0228,235.1782,323.196,569.8504,1179.4533,4148.5814,330.0144,330.0144,330.0144,330.0144,330.0144,330.0144,0.6215,0.6215
2020-02-11 01:30:00,1.553,8.0327,17.2699,35.7537,232.9599,322.7225,562.1431,1173.5237,4101.8012,336.4938,336.4938,336.4938,336.4938,336.4938,336.4938,0.6198,0.6198
2020-02-11 02:00:00,1.5528,8.2046,17.1981,35.3893,232.1614,320.624,559.3316,1162.6251,4092.7073,339.4919,339.4919,339.4919,339.4919,339.4919,339.4919,0.6008,0.6008
2020-02-11 02:30:00,1.5466,8.3061,17.1368,35.2865,231.5633,320.505,558.3338,1163.9463,4110.0284,328.5305,328.5305,328.5305,328.5305,328.5305,328.5305,0.596,0.596
2020-02-11 03:00:00,1.5461,8.484,17.402,35.4796,233.4263,320.4842,561.2191,1164.2256,4101.8297,336.0963,336.0963,336.0963,336.0963,336.0963,336.0963,0.5862,0.5862
2020-02-11 03:30:00,1.5579,8.683,17.7393,35.681,234.9468,324.2378,564.9855,1175.9427,4032.7734,334.3024,334.3024,334.3024,334.3024,334.3024,334.3024,0.5818,0.5818
2020-02-11 04:00:00,1.588,8.7539,18.7709,36.8323,241.0178,327.9936,582.0606,1183.8016,4024.474,335.5798,335.5798,335.5798,335.5798,335.5798,335.5798,0.5882,0.5882
2020-02-11 04:30:00,1.6441,9.3199,19.5238,37.6249,246.2965,333.849,595.7878,1202.1135,4059.7235,338.0519,338.0519,338.0519,338.0519,338.0519,338.0519,0.603,0.603
2020-02-11 05:00:00,1.7412,10.0102,21.7524,39.4619,258.3875,350.5705,619.6379,1228.4147,4071.719,330.1671,330.1671,330.1671,330.1671,330.1671,330.1671,0.6345,0.6345
2020-02-11 05:30:00,1.8399,10.7263,23.7568,41.1102,270.4428,360.0183,651.0485,1262.8381,4086.3996,333.4343,333.4343,333.4343,333.4343,333.4343,333.4343,0.6928,0.6928
2020-02-11 06:00:00,2.0341,13.0023,27.1596,43.4559,290.5101,377.6836,703.0688,1307.821,4153.317,332.5281,332.5281,332.5281,332.5281,332.5281,332.5281,0.7513,0.7513
2020-02-11 06:30:00,2.1822,14.4655,30.1052,44.7627,303.6162,389.7092,735.1048,1330.9772,4187.7644,331.6222,331.6222,331.6222,331.6222,331.6222,331.6222,0.8362,0.8362
2020-02-11 07:00:00,2.327,15.7974,32.3832,45.127,314.3685,396.0903,761.4574,1342.2279,4224.6586,317.052,317.052,317.052,317.052,317.052,317.052,0.8809,0.8809
2020-02-11 07:30:00,2.4932,15.8968,34.9258,45.6884,320.5334,408.3328,776.5645,1347.1067,4218.6363,336.3442,336.3442,336.3442,336.3442,336.3442,336.3442,0.8093,0.8093
2020-02-11 08:00:00,2.6715,14.0768,36.2064,46.7955,324.3488,402.3627,792.7484,1350.3782,4134.636,333.3616,333.3616,333.3616,333.3616,333.3616,333.3616,0.7392,0.7392
2020-02-11 08:30:00,2.7594,11.7082,37.1312,47.4207,324.8158,390.3064,808.514,1350.4361,4056.787,328.0516,328.0516,328.0516,328.0516,328.0516,328.0516,0.6816,0.6816
2020-02-11 09:00:00,2.8834,9.8754,37.5839,48.2214,329.5271,384.0823,819.8172,1353.3647,4036.9555,318.5708,318.5708,318.5708,318.5708,318.5708,318.5708,0.6505,0.6505
2020-02-11 09:30:00,3.0202,8.6084,38.4281,48.9437,334.8258,380.0646,835.5045,1358.9332,4092.843,330.3635,330.3635,330.3635,330.3635,330.3635,330.3635,0.6249,0.6249
