,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-01-29 00:00:00,1.5825,7.9575,17.865,36.8518,239.572,330.5876,582.6518,1175.6287,4099.8187,117.3237,117.3237,117.3237,117.3237,117.3237,117.3237,0.7044,0.7044
2020-01-29 00:30:00,1.5682,7.8428,17.4688,36.4623,237.6315,325.4925,579.0583,1161.3087,4081.7015,113.4927,113.4927,113.4927,113.4927,113.4927,113.4927,0.6623,0.6623
2020-01-29 01:00:00,1.5462,7.8087,17.2916,35.8743,235.0845,321.1338,572.1877,1156.1957,4093.6495,118.9414,118.9414,118.9414,118.9414,118.9414,118.9414,0.6382,0.6382
2020-01-29 01:30:00,1.5453,7.7808,17.1624,35.6377,231.7095,318.9862,569.7186,1151.0316,4107.7938,114.4486,114.4486,114.4486,114.4486,114.4486,114.4486,0.6224,0.6224
2020-01-29 02:00:00,1.5435,7.8645,17.3923,35.393,230.3407,315.5696,565.1947,1142.2156,4082.9089,121.5579,121.5579,121.5579,121.5579,121.5579,121.5579,0.6151,0.6151
2020-01-29 02:30:00,1.5462,7.8731,17.3178,35.3428,227.9732,314.5552,566.8729,1140.0039,4057.1603,120.8549,120.8549,120.8549,120.8549,120.8549,120.8549,0.5993,0.5993
2020-01-29 03:00:00,1.5398,8.2483,17.7484,35.3324,229.8291,314.2594,569.6163,1138.2367,4048.6817,145.3336,145.3336,145.3336,145.3336,145.3336,145.3336,0.604,0.604
2020-01-29 03:30:00,1.5554,8.3717,18.1203,35.7647,232.7808,315.7444,579.1575,1142.6072,3999.2852,140.7991,140.7991,140.7991,140.7991,140.7991,140.7991,0.6027,0.6027
2020-01-29 04:00:00,1.5917,8.6542,19.1651,36.9947,240.0656,324.8917,590.8761,1145.082,4067.6321,135.5345,135.5345,135.5345,135.5345,135.5345,135.5345,0.6082,0.6082
2020-01-29 04:30:00,1.6297,9.1703,19.8879,38.0269,247.0247,332.376,605.0908,1160.2563,4082.1666,140.1128,140.1128,140.1128,140.1128,140.1128,140.1128,0.6315,0.6315
2020-01-29 05:00:00,1.7398,10.161,21.9955,39.9056,258.956,346.0689,634.4127,1195.058,4104.6944,140.3777,140.3777,140.3777,140.3777,140.3777,140.3777,0.6715,0.6715
