,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-06-28 00:00:00,1.694,11.863,17.8832,37.2694,230.8072,280.463,575.4615,1097.7442,4563.1192,61.3782,61.3782,61.3782,61.3782,61.3782,61.3782,0.9026,0.9026
2020-06-28 00:30:00,1.6388,11.4334,17.4989,36.8192,228.4564,277.324,572.9119,1087.2953,4564.3337,57.8914,57.8914,57.8914,57.8914,57.8914,57.8914,0.8418,0.8418
2020-06-28 01:00:00,1.6182,10.9014,17.4297,36.3365,226.7249,274.3182,573.7041,1082.5231,4518.8581,54.9725,54.9725,54.9725,54.9725,54.9725,54.9725,0.7883,0.7883
2020-06-28 01:30:00,1.6176,10.5047,17.2112,36.0759,224.9863,269.0835,565.065,1075.3909,4473.4534,51.5735,51.5735,51.5735,51.5735,51.5735,51.5735,0.7458,0.7458
2020-06-28 02:00:00,1.61,10.0643,16.9985,35.8802,223.29,267.759,561.9941,1074.1963,4461.9486,61.9946,61.9946,61.9946,61.9946,61.9946,61.9946,0.6988,0.6988
2020-06-28 02:30:00,1.5796,9.8389,16.8431,35.3321,222.3326,266.1936,558.6346,1071.4389,4418.3345,60.3679,60.3679,60.3679,60.3679,60.3679,60.3679,0.6726,0.6726
2020-06-28 03:00:00,1.5688,9.8838,16.6244,35.1134,222.3181,263.5218,556.3913,1062.9319,4391.2625,66.4606,66.4606,66.4606,66.4606,66.4606,66.4606,0.655,0.655
2020-06-28 03:30:00,1.5549,9.5816,16.474,34.9062,222.0398,261.2067,558.4231,1058.1408,4338.2613,59.8045,59.8045,59.8045,59.8045,59.8045,59.8045,0.6271,0.6271
2020-06-28 04:00:00,1.5468,9.7672,16.43,35.1558,221.8317,262.0966,557.1884,1057.405,4302.2482,58.7921,58.7921,58.7921,58.7921,58.7921,58.7921,0.6219,0.6219
2020-06-28 04:30:00,1.5518,9.7909,16.45,35.2954,222.4539,264.5884,558.0056,1055.6479,4311.0647,61.7879,61.7879,61.7879,61.7879,61.7879,61.7879,0.6143,0.6143
2020-06-28 05:00:00,1.57,9.5489,16.587,36.1379,222.8508,266.7327,561.9538,1061.0723,4294.2009,59.5805,59.5805,59.5805,59.5805,59.5805,59.5805,0.6108,0.6108
2020-06-28 05:30:00,1.5358,9.2288,16.7643,36.2118,223.1129,264.1863,561.8407,1056.2286,4293.112,58.1962,58.1962,58.1962,58.1962,58.1962,58.1962,0.6037,0.6037
2020-06-28 06:00:00,1.5001,8.6914,16.8538,36.1474,222.6253,257.4836,558.7386,1043.6467,4241.5094,42.1132,42.1132,42.1132,42.1132,42.1132,42.1132,0.6024,0.6024
2020-06-28 06:30:00,1.4779,7.9537,16.987,36.3035,220.9538,248.5827,558.9882,1040.3474,4197.9877,38.6031,38.6031,38.6031,38.6031,38.6031,38.6031,0.6022,0.6022
2020-06-28 07:00:00,1.496,7.1443,17.2962,36.818,221.1207,241.0206,562.182,1030.5378,4155.3181,45.9372,45.9372,45.9372,45.9372,45.9372,45.9372,0.6172,0.6172
2020-06-28 07:30:00,1.5352,5.8667,17.6164,37.3353,218.3498,234.5345,559.0772,1018.3585,4153.3195,45.0162,45.0162,45.0162,45.0162,45.0162,45.0162,0.6295,0.6295
2020-06-28 08:00:00,1.5728,5.108,18.3504,37.9458,219.1071,235.8728,559.3908,1017.0441,4576.7944,37.9371,37.9371,37.9371,37.9371,37.9371,37.9371,0.654,0.654
2020-06-28 08:30:00,1.6104,4.9077,18.7142,38.2832,218.5509,234.8932,559.6302,1009.5999,4702.611,42.0297,42.0297,42.0297,42.0297,42.0297,42.0297,0.6714,0.6714
2020-06-28 09:00:00,1.6857,4.5835,19.3001,39.1304,218.4612,235.9204,560.8133,1004.9331,4716.0797,43.4885,43.4885,43.4885,43.4885,43.4885,43.4885,0.6945,0.6945
2020-06-28 09:30:00,1.7598,4.393,19.7957,39.8479,220.2415,232.8734,564.7251,1003.3655,4737.292,36.4272,36.4272,36.4272,36.4272,36.4272,36.4272,0.7158,0.7158
2020-06-28 10:00:00,1.8388,4.4072,20.3175,40.4961,221.7673,230.7681,566.3861,1009.4003,4751.0457,48.0217,48.0217,48.0217,48.0217,48.0217,48.0217,0.7487,0.7487
2020-06-28 10:30:00,1.8935,4.3874,20.9189,41.0091,223.7446,230.9032,570.2072,1016.3584,4761.0239,40.1211,40.1211,40.1211,40.1211,40.1211,40.1211,0.7644,0.7644
2020-06-28 11:00:00,1.9478,4.2192,21.5622,41.6422,226.7601,227.8461,574.4781,1021.1551,4766.6238,48.7691,48.7691,48.7691,48.7691,48.7691,48.7691,0.785,0.785
2020-06-28 11:30:00,1.9858,4.2829,21.8614,42.1901,227.6336,227.3616,579.9117,1016.3041,4799.7388,40.1438,40.1438,40.1438,40.1438,40.1438,40.1438,0.804,0.804
2020-06-28 12:00:00,2.0189,4.368,22.1249,42.2033,229.8396,225.5484,581.2345,1015.2013,4780.0738,46.371,46.371,46.371,46.371,46.371,46.371,0.8495,0.8495
2020-06-28 12:30:00,2.0313,4.3157,22.424,42.6291,232.0073,225.8119,581.7152,1022.63,4811.855,43.9033,43.9033,43.9033,43.9033,43.9033,43.9033,0.8648,0.8648
