,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-05-27 00:00:00,1.7572,12.5248,19.6931,40.641,272.2799,317.2037,638.2126,1285.3801,4672.1429,79.8234,79.8234,79.8234,79.8234,79.8234,79.8234,1.0552,1.0552
2020-05-27 00:30:00,1.7087,12.039,19.3913,40.1694,267.8912,313.4196,637.2555,1268.7629,4592.8763,71.7247,71.7247,71.7247,71.7247,71.7247,71.7247,0.9858,0.9858
2020-05-27 01:00:00,1.6693,11.5739,19.1075,39.5114,265.6584,310.4715,634.4065,1257.8038,4543.0808,65.3914,65.3914,65.3914,65.3914,65.3914,65.3914,0.9335,0.9335
2020-05-27 01:30:00,1.6535,11.3489,18.8182,38.9867,262.8002,305.833,629.9964,1245.0783,4479.8826,61.9989,61.9989,61.9989,61.9989,61.9989,61.9989,0.8706,0.8706
2020-05-27 02:00:00,1.6408,11.4515,18.6518,38.5387,258.7605,304.8145,624.6718,1238.7578,4454.377,68.6998,68.6998,68.6998,68.6998,68.6998,68.6998,0.8301,0.8301
2020-05-27 02:30:00,1.608,11.2602,18.3857,38.3207,258.0391,301.8466,625.4337,1224.9573,4465.9969,82.6922,82.6922,82.6922,82.6922,82.6922,82.6922,0.7992,0.7992
2020-05-27 03:00:00,1.6048,11.1302,18.6106,38.4041,260.9571,300.2665,628.0274,1225.7483,4438.0911,70.219,70.219,70.219,70.219,70.219,70.219,0.7597,0.7597
2020-05-27 03:30:00,1.595,11.0026,19.0168,38.3073,262.9924,302.8557,630.6113,1230.2279,4453.2489,70.7793,70.7793,70.7793,70.7793,70.7793,70.7793,0.7354,0.7354
2020-05-27 04:00:00,1.6094,11.5483,20.3661,38.6635,269.1064,304.0179,634.1051,1238.3399,4446.3131,76.6521,76.6521,76.6521,76.6521,76.6521,76.6521,0.7077,0.7077
2020-05-27 04:30:00,1.6239,12.383,21.4866,39.4742,278.3001,308.3068,642.8404,1250.0492,4490.7064,68.486,68.486,68.486,68.486,68.486,68.486,0.7053,0.7053
2020-05-27 05:00:00,1.7246,13.7546,23.2965,40.9172,287.4596,321.0689,664.2146,1288.6343,4532.1851,76.3239,76.3239,76.3239,76.3239,76.3239,76.3239,0.6919,0.6919
2020-05-27 05:30:00,1.7428,13.6758,24.7098,41.7214,293.8861,325.7603,691.2437,1309.2468,4553.7991,73.2172,73.2172,73.2172,73.2172,73.2172,73.2172,0.7004,0.7004
2020-05-27 06:00:00,1.7747,14.6079,27.342,42.6988,307.4736,338.6843,729.1212,1333.4999,4507.0499,55.025,55.025,55.025,55.025,55.025,55.025,0.691,0.691
2020-05-27 06:30:00,1.8801,14.2577,29.4258,43.6454,317.5431,342.8189,748.3267,1359.7555,4432.392,50.1616,50.1616,50.1616,50.1616,50.1616,50.1616,0.6998,0.6998
2020-05-27 07:00:00,2.067,13.7731,31.8848,45.641,324.2003,344.466,789.4657,1365.0737,4376.1191,57.1136,57.1136,57.1136,57.1136,57.1136,57.1136,0.7223,0.7223
2020-05-27 07:30:00,2.2828,12.3011,33.9318,46.6245,330.0282,338.9454,811.2856,1363.7513,4300.2423,58.0027,58.0027,58.0027,58.0027,58.0027,58.0027,0.743,0.743
2020-05-27 08:00:00,2.5122,10.5984,35.6055,47.8583,335.2715,339.1128,832.7089,1377.467,4212.9646,50.945,50.945,50.945,50.945,50.945,50.945,0.7606,0.7606
2020-05-27 08:30:00,2.7203,9.716,37.2959,48.8098,339.3644,336.0163,858.7591,1386.501,4184.1161,51.1961,51.1961,51.1961,51.1961,51.1961,51.1961,0.8032,0.8032
2020-05-27 09:00:00,2.9342,9.4679,38.4653,49.9974,344.7033,335.1294,870.9626,1390.8074,4190.4669,53.9704,53.9704,53.9704,53.9704,53.9704,53.9704,0.8455,0.8455
2020-05-27 09:30:00,3.0996,9.1015,39.9612,51.3032,349.3899,334.8342,883.4258,1398.7613,4255.0845,58.6354,58.6354,58.6354,58.6354,58.6354,58.6354,0.9101,0.9101
2020-05-27 10:00:00,3.2913,9.1875,41.1873,52.1892,354.7943,336.2149,896.7693,1405.1874,4375.4656,56.3717,56.3717,56.3717,56.3717,56.3717,56.3717,0.9771,0.9771
2020-05-27 10:30:00,3.4463,8.8444,42.3569,53.0592,358.9014,338.5977,896.2434,1419.2872,4440.1143,53.5924,53.5924,53.5924,53.5924,53.5924,53.5924,1.033,1.033
2020-05-27 11:00:00,3.5421,8.5872,43.1948,53.2626,364.0551,341.8873,897.9774,1418.6004,4479.075,56.4342,56.4342,56.4342,56.4342,56.4342,56.4342,1.0933,1.0933
2020-05-27 11:30:00,3.6181,8.3137,44.1882,54.028,363.3947,343.9731,890.9062,1418.4141,4559.3681,56.6357,56.6357,56.6357,56.6357,56.6357,56.6357,1.1297,1.1297
2020-05-27 12:00:00,3.6255,8.2386,44.6708,54.8119,361.0588,343.0634,886.9683,1411.7559,4530.218,62.546,62.546,62.546,62.546,62.546,62.546,1.2254,1.2254
2020-05-27 12:30:00,3.7077,8.5314,45.4859,55.1428,364.1956,342.9398,886.3432,1411.8423,4524.6991,53.362,53.362,53.362,53.362,53.362,53.362,1.2985,1.2985
2020-05-27 13:00:00,3.7561,7.8238,45.5866,55.5753,365.9133,342.5614,874.8438,1416.57,4507.6111,54.7568,54.7568,54.7568,54.7568,54.7568,54.7568,1.3484,1.3484
2020-05-27 13:30:00,3.7774,7.386,45.2779,55.7565,365.3108,339.7846,865.706,1416.4205,4490.7217,54.688,54.688,54.688,54.688,54.688,54.688,1.3914,1.3914
2020-05-27 14:00:00,3.7929,6.9533,44.8372,55.4414,362.2375,336.6502,857.7702,1403.5495,4483.2372,52.8209,52.8209,52.8209,52.8209,52.8209,52.8209,1.4345,1.4345
2020-05-27 14:30:00,3.8092,6.4727,43.883,55.3085,359.0419,333.2131,846.4429,1392.7246,4473.1281,58.5602,58.5602,58.5602,58.5602,58.5602,58.5602,1.5,1.5
2020-05-27 15:00:00,3.7943,6.2074,43.1634,55.2895,355.9544,329.5702,835.2724,1378.1629,4393.3756,54.2741,54.2741,54.2741,54.2741,54.2741,54.2741,1.5208,1.5208
2020-05-27 15:30:00,3.6849,5.8387,42.2406,55.1103,353.1325,323.9743,826.4155,1369.8918,4391.814,56.0818,56.0818,56.0818,56.0818,56.0818,56.0818,1.5958,1.5958
