,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-01-03 00:00:00,1.5724,7.8748,17.359,35.9035,225.7285,285.4727,553.2609,1100.3965,3794.8149,210.1903,210.1903,210.1903,210.1903,210.1903,210.1903,0.7497,0.7497
2020-01-03 00:30:00,1.5644,7.8749,17.1622,35.2941,224.0026,284.1696,542.588,1096.3194,3777.1368,196.8822,196.8822,196.8822,196.8822,196.8822,196.8822,0.72,0.72
2020-01-03 01:00:00,1.5434,7.8909,16.9746,34.8419,221.0246,282.2849,539.6583,1083.6804,3768.983,132.8044,132.8044,132.8044,132.8044,132.8044,132.8044,0.6832,0.6832
2020-01-03 01:30:00,1.5432,7.9034,16.8148,34.785,219.3893,281.7508,535.2113,1080.4699,3770.469,91.5931,91.5931,91.5931,91.5931,91.5931,91.5931,0.6525,0.6525
2020-01-03 02:00:00,1.556,7.9233,16.7905,34.6312,217.241,277.8965,534.9394,1068.0183,3741.7352,95.219,95.219,95.219,95.219,95.219,95.219,0.6498,0.6498
2020-01-03 02:30:00,1.5582,8.0,16.7618,34.5798,216.694,279.6806,531.4459,1062.1705,3739.512,93.2313,93.2313,93.2313,93.2313,93.2313,93.2313,0.6397,0.6397
2020-01-03 03:00:00,1.5411,8.5384,16.9381,34.8334,218.4612,279.5628,535.3685,1064.542,3756.8614,112.7868,112.7868,112.7868,112.7868,112.7868,112.7868,0.6354,0.6354
2020-01-03 03:30:00,1.5754,8.3532,17.274,35.0774,221.3109,278.7071,544.1585,1064.3177,3757.857,102.5393,102.5393,102.5393,102.5393,102.5393,102.5393,0.63,0.63
2020-01-03 04:00:00,1.5975,8.4109,18.329,35.8635,228.4463,281.9949,558.2441,1077.1962,3800.7134,98.4741,98.4741,98.4741,98.4741,98.4741,98.4741,0.6375,0.6375
2020-01-03 04:30:00,1.65,8.8918,18.8813,36.7203,233.9378,287.7701,572.4639,1090.9169,3860.4065,105.1162,105.1162,105.1162,105.1162,105.1162,105.1162,0.6497,0.6497
2020-01-03 05:00:00,1.7448,9.6563,20.7467,38.2223,246.3821,297.6264,597.5144,1114.3876,3907.0108,107.997,107.997,107.997,107.997,107.997,107.997,0.6764,0.6764
2020-01-03 05:30:00,1.8095,10.0298,22.3638,39.49,254.92,307.4998,624.9265,1140.443,3898.3818,99.478,99.478,99.478,99.478,99.478,99.478,0.7153,0.7153
2020-01-03 06:00:00,1.9307,10.9577,24.7264,41.5846,270.0953,322.6429,668.3688,1172.6152,3957.3118,109.0386,109.0386,109.0386,109.0386,109.0386,109.0386,0.753,0.753
