,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-06-09 00:00:00,1.473,11.2847,17.2944,36.0329,244.1203,298.6148,614.5237,1206.5976,4510.2038,55.353,55.353,55.353,55.353,55.353,55.353,0.6676,0.6676
2020-06-09 00:30:00,1.4629,11.3364,17.1395,35.5801,242.3327,293.4778,610.3404,1197.2339,4501.1027,61.8116,61.8116,61.8116,61.8116,61.8116,61.8116,0.618,0.618
2020-06-09 01:00:00,1.4499,10.388,16.9664,35.2742,240.9698,287.4166,608.5951,1188.1548,4431.7857,56.3413,56.3413,56.3413,56.3413,56.3413,56.3413,0.5878,0.5878
2020-06-09 01:30:00,1.4432,9.6531,16.6728,34.9672,236.9342,284.4335,604.3473,1181.3268,4421.518,59.5614,59.5614,59.5614,59.5614,59.5614,59.5614,0.5571,0.5571
2020-06-09 02:00:00,1.435,9.8733,16.6251,34.6076,236.4311,282.9828,598.4784,1171.7937,4409.2125,58.1335,58.1335,58.1335,58.1335,58.1335,58.1335,0.5482,0.5482
2020-06-09 02:30:00,1.4211,9.7935,16.5397,34.4441,234.6144,281.847,593.9395,1166.6316,4378.5905,63.0084,63.0084,63.0084,63.0084,63.0084,63.0084,0.5257,0.5257
2020-06-09 03:00:00,1.4162,10.0536,16.7121,34.71,236.751,282.1194,596.8859,1164.5861,4313.2999,67.5341,67.5341,67.5341,67.5341,67.5341,67.5341,0.5175,0.5175
2020-06-09 03:30:00,1.4148,10.2862,16.9468,34.5186,238.2132,282.0742,598.3051,1165.5147,4296.6348,62.1508,62.1508,62.1508,62.1508,62.1508,62.1508,0.5043,0.5043
2020-06-09 04:00:00,1.4275,10.3728,17.7255,34.8735,243.9004,281.8753,596.527,1173.8586,4338.0453,64.3695,64.3695,64.3695,64.3695,64.3695,64.3695,0.5226,0.5226
2020-06-09 04:30:00,1.4557,10.692,18.497,35.3488,247.7828,285.7111,605.9728,1186.2762,4379.2712,62.4087,62.4087,62.4087,62.4087,62.4087,62.4087,0.5255,0.5255
2020-06-09 05:00:00,1.5086,11.6594,19.6072,36.4121,259.274,298.8335,631.0729,1202.5362,4399.0279,66.6293,66.6293,66.6293,66.6293,66.6293,66.6293,0.5389,0.5389
2020-06-09 05:30:00,1.5123,11.7548,20.9543,36.7091,266.3307,302.5685,652.2813,1215.4269,4438.8825,65.2027,65.2027,65.2027,65.2027,65.2027,65.2027,0.5481,0.5481
2020-06-09 06:00:00,1.5626,12.1467,22.9178,37.3489,274.7077,309.2152,684.6318,1234.4859,4383.3524,47.5313,47.5313,47.5313,47.5313,47.5313,47.5313,0.5643,0.5643
2020-06-09 06:30:00,1.625,11.4514,24.5676,38.1698,283.6925,317.1409,708.101,1250.6898,4361.4802,45.8565,45.8565,45.8565,45.8565,45.8565,45.8565,0.5727,0.5727
2020-06-09 07:00:00,1.7457,10.5495,26.3969,39.4295,289.1446,314.7531,734.4482,1259.1862,4321.9571,50.8479,50.8479,50.8479,50.8479,50.8479,50.8479,0.58,0.58
2020-06-09 07:30:00,1.9024,9.171,28.1027,40.6772,292.149,309.444,755.003,1258.3675,4266.0272,56.7848,56.7848,56.7848,56.7848,56.7848,56.7848,0.591,0.591
2020-06-09 08:00:00,2.047,7.9543,29.5855,41.9222,297.9491,311.0949,777.607,1263.1752,4270.3026,58.2474,58.2474,58.2474,58.2474,58.2474,58.2474,0.5779,0.5779
2020-06-09 08:30:00,2.1787,7.554,31.0568,42.9505,301.1146,305.9845,788.0826,1272.1942,4261.1406,59.2863,59.2863,59.2863,59.2863,59.2863,59.2863,0.5809,0.5809
2020-06-09 09:00:00,2.3305,6.9161,32.1702,43.893,308.1377,303.7084,802.0824,1286.7047,4319.7254,72.8784,72.8784,72.8784,72.8784,72.8784,72.8784,0.5864,0.5864
2020-06-09 09:30:00,2.4091,6.5132,33.4841,44.747,311.1703,303.5874,812.4053,1292.1197,4318.6375,69.3834,69.3834,69.3834,69.3834,69.3834,69.3834,0.6005,0.6005
2020-06-09 10:00:00,2.5212,6.7848,35.0088,45.5959,313.0611,310.3611,823.0641,1298.2295,4322.8817,65.7454,65.7454,65.7454,65.7454,65.7454,65.7454,0.6258,0.6258
2020-06-09 10:30:00,2.6467,7.0735,36.196,46.3254,316.2679,311.9488,826.2211,1308.7183,4354.8386,70.1217,70.1217,70.1217,70.1217,70.1217,70.1217,0.6492,0.6492
2020-06-09 11:00:00,2.7178,6.7985,36.7179,46.7291,322.9987,317.2225,838.1518,1303.9686,4355.3006,66.2863,66.2863,66.2863,66.2863,66.2863,66.2863,0.6671,0.6671
2020-06-09 11:30:00,2.8237,6.0805,36.6316,47.58,322.8846,315.4157,841.3461,1294.2769,4385.9279,71.0031,71.0031,71.0031,71.0031,71.0031,71.0031,0.6916,0.6916
2020-06-09 12:00:00,2.8377,6.1869,37.3784,48.1677,324.1571,314.5408,845.2069,1300.6711,4409.9118,53.7612,53.7612,53.7612,53.7612,53.7612,53.7612,0.706,0.706
2020-06-09 12:30:00,2.9409,5.7375,37.8744,48.6993,329.239,314.5476,845.1676,1310.4393,4508.6014,54.7648,54.7648,54.7648,54.7648,54.7648,54.7648,0.7276,0.7276
2020-06-09 13:00:00,3.0514,5.1939,38.2804,49.2751,329.9207,316.8494,848.3374,1316.2786,4511.1862,52.9501,52.9501,52.9501,52.9501,52.9501,52.9501,0.7585,0.7585
2020-06-09 13:30:00,3.0881,5.789,38.8515,49.8998,332.6858,317.6828,841.0391,1312.8503,4494.4851,51.0169,51.0169,51.0169,51.0169,51.0169,51.0169,0.8021,0.8021
2020-06-09 14:00:00,3.1328,5.6194,38.887,50.0502,332.1944,313.2529,837.4018,1305.1971,4512.2841,51.4001,51.4001,51.4001,51.4001,51.4001,51.4001,0.8193,0.8193
2020-06-09 14:30:00,3.1882,5.5233,38.6264,50.5379,332.454,311.0321,839.2182,1302.651,4458.4037,50.7249,50.7249,50.7249,50.7249,50.7249,50.7249,0.8685,0.8685
2020-06-09 15:00:00,3.1999,5.1289,38.1275,50.81,333.3047,309.8044,830.8323,1293.0356,4340.8203,48.7663,48.7663,48.7663,48.7663,48.7663,48.7663,0.895,0.895
2020-06-09 15:30:00,3.1826,4.7758,37.702,50.7315,332.0882,307.8126,822.6876,1290.3107,4326.9042,45.9423,45.9423,45.9423,45.9423,45.9423,45.9423,0.94,0.94
2020-06-09 16:00:00,3.1208,4.7938,36.8661,50.804,330.4729,307.1614,810.5822,1291.0666,4317.43,49.8613,49.8613,49.8613,49.8613,49.8613,49.8613,1.0095,1.0095
2020-06-09 16:30:00,2.9841,4.8793,35.795,50.4091,327.2665,306.8128,802.026,1288.2959,4327.3746,48.1616,48.1616,48.1616,48.1616,48.1616,48.1616,1.0444,1.0444
2020-06-09 17:00:00,2.7947,4.9351,33.9737,49.9004,321.7015,302.6251,787.5003,1282.2669,4350.7407,52.5645,52.5645,52.5645,52.5645,52.5645,52.5645,1.1218,1.1218
2020-06-09 17:30:00,2.6433,5.3011,32.3301,49.4009,319.9906,303.4948,767.2107,1281.1223,4343.5666,46.2368,46.2368,46.2368,46.2368,46.2368,46.2368,1.2268,1.2268
2020-06-09 18:00:00,2.4735,5.9773,29.5206,48.204,311.3581,305.3172,722.3827,1285.9036,4395.2107,49.1964,49.1964,49.1964,49.1964,49.1964,49.1964,1.2691,1.2691
2020-06-09 18:30:00,2.3805,7.1186,28.4019,47.8833,312.7152,312.442,719.328,1305.4302,4470.3525,49.9059,49.9059,49.9059,49.9059,49.9059,49.9059,1.2764,1.2764
2020-06-09 19:00:00,2.2485,8.6188,26.8631,46.7522,307.7212,325.1993,713.64,1323.7683,4521.3619,43.5471,43.5471,43.5471,43.5471,43.5471,43.5471,1.2711,1.2711
2020-06-09 19:30:00,2.1421,10.0805,25.6632,46.0395,305.5529,332.2052,706.7067,1324.4448,4616.1316,45.6107,45.6107,45.6107,45.6107,45.6107,45.6107,1.2603,1.2603
2020-06-09 20:00:00,2.0539,11.5565,23.9958,44.7612,297.103,332.7253,695.0075,1320.7146,4597.2946,53.7707,53.7707,53.7707,53.7707,53.7707,53.7707,1.2356,1.2356
2020-06-09 20:30:00,2.0187,12.0041,23.579,44.7441,293.2145,332.8356,691.4061,1320.544,4605.3991,64.8737,64.8737,64.8737,64.8737,64.8737,64.8737,1.2256,1.2256
2020-06-09 21:00:00,1.9425,12.5521,22.6389,43.8376,283.5653,328.2667,688.5,1305.7234,4579.4691,68.9215,68.9215,68.9215,68.9215,68.9215,68.9215,1.2003,1.2003
2020-06-09 21:30:00,1.8552,13.0533,21.8891,42.8051,278.9076,324.4091,680.2793,1315.4458,4601.9932,72.9778,72.9778,72.9778,72.9778,72.9778,72.9778,1.1521,1.1521
2020-06-09 22:00:00,1.774,13.0605,20.7491,41.1873,272.3508,320.1699,663.3415,1307.3897,4562.7531,72.516,72.516,72.516,72.516,72.516,72.516,1.054,1.054
2020-06-09 22:30:00,1.7055,12.8778,19.9542,40.1325,268.7099,314.1735,659.3648,1294.3965,4527.7566,64.7391,64.7391,64.7391,64.7391,64.7391,64.7391,0.9801,0.9801
2020-06-09 23:00:00,1.6436,12.326,19.2307,39.1488,263.9536,311.9061,649.5088,1272.6322,4550.5231,62.3437,62.3437,62.3437,62.3437,62.3437,62.3437,0.9005,0.9005
